jogo,liga,odd_lay,p,ev,liga_0x0,mkt_prob,stake_pct_banca,link,home,away,ko,over05_back,under05_lay
Pogon Siedlce x Polonia Warszawa,POLAND 2,17.5,0.96,0.252,0.03,0.077,6.63,https://www.betfair.bet.br/exchange/plus/football/event/35917863,Pogon Siedlce,Polonia Warszawa,10:30:00,1.05,21.0
Mjallby x Sirius,SWEDEN 1,20.0,0.962,0.197,0.04,0.077,5.19,https://www.betfair.bet.br/exchange/plus/football/event/35917902,Mjallby,Sirius,10:00:00,1.05,21.0
Reading x Luton,ENGLAND 3,15.0,0.949,0.186,0.06,0.091,4.9,https://www.betfair.bet.br/exchange/plus/football/event/35774742,Reading,Luton,08:30:00,1.06,16.0
Politehnica Timisoara x Unirea Slobozia,ROMANIA 2,16.0,0.947,0.107,0.03,0.091,2.81,https://www.betfair.bet.br/exchange/plus/football/event/35927408,Politehnica Timisoara,Unirea Slobozia,05:00:00,1.07,16.0
Blackpool x Wycombe,ENGLAND 3,14.5,0.937,0.039,0.06,0.091,1.01,https://www.betfair.bet.br/exchange/plus/football/event/35774745,Blackpool,Wycombe,11:00:00,1.07,15.0
