jogo,liga,odd_lay,p,ev,liga_0x0,mkt_prob,stake_pct_banca,link,home,away,ko,over05_back,under05_lay
Leyton Orient x Wycombe,ENGLAND 3,17.0,0.95,0.099,0.07,0.083,2.6,https://www.betfair.bet.br/exchange/plus/football/event/36035352,Leyton Orient,Wycombe,08:30:00,1.06,17.5
AIK x Vasteras SK,SWEDEN 1,16.5,0.945,0.044,0.05,0.067,1.16,https://www.betfair.bet.br/exchange/plus/football/event/36043030,AIK,Vasteras SK,10:00:00,1.06,16.5
