Data,Home,Away,ko,e_cs0x0_lay,e_over05_back,e_under05_lay,c_cs0x0_lay,c_over05_back,c_under05_lay,last_ts,status,clv_lay0x0,clv_backover05,entry_ts
2026-09-09,Hradec Kralove,Plzen,14:00:00,16.5,1.06,16.5,16.5,1.06,,,CLOSED,0.0,0.0,2026-09-09T16:47:01
2026-09-12,Leyton Orient,Wycombe,08:30:00,17.5,1.06,17.5,17.0,1.06,18.0,2026-09-12T08:00:04,CLOSED,-2.86,0.0,2026-09-12T05:00:59
2026-09-12,AIK,Vasteras SK,10:00:00,16.5,1.06,16.5,16.5,1.06,16.5,2026-09-12T09:00:04,CLOSED,0.0,0.0,2026-09-12T05:00:59
