Data,Hora,Liga,Jogo,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Expectativa_WR,EV_Estimado,1/0,P/L,Placar,Resultado,Stake_R$,PnL_R$,PnL_u,Stake_Sugerida_R$,Lucro_Green_R$,Risco_Red_R$,mk,kh,ka,lay_real,g
2026-08-25,14:30,SOUTH AFRICA 1,Orlando Pirates (SA) x Sekhukhune United,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,4.84,1.36,85.8%,+3.26%,1,0.2513020833333333,,,,,,,,,Lay Draw,orlandopiratessa,sekhukhuneunited,5.4,1
2026-08-25,14:30,SOUTH AFRICA 1,Siwelele FC x Chippa Utd,Lay 0x1 Super Fav,Correct Score (0x1),LAY,14.5,1.9,94.2%,+2.59%,1,0.07148148148148148,,,,,,,,,Lay 0x1,siwelelefc,chippautd,14.5,1
2026-08-25,16:15,ICELAND 2,Afturelding x Grotta,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.26,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,afturelding,grotta,85.0,1
2026-08-25,16:15,ICELAND 2,Afturelding x Grotta,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.62,1.26,85.8%,+3.26%,1,0.1457703927492447,,,,,,,,,Lay Draw,afturelding,grotta,9.0,1
2026-08-26,07:30,SOUTH KOREA 1,Gangwon x Gwangju FC,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,11.03,1.58,94.3%,+3.18%,1,0.09621136590229312,,,,,,,,,Lay Under 0.5,gangwon,gwangjufc,12.0,1
2026-08-26,14:00,NORWAY 2,Stromsgodset x Hodd,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.42,1.27,85.8%,+3.26%,1,0.15031152647975077,,,,,,,,,Lay Draw,stromsgodset,hodd,8.2,1
2026-08-26,14:30,SOUTH AFRICA 1,Mamelodi Sundowns x AmaZulu,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.67,1.28,85.8%,+3.26%,1,0.20663811563169165,,,,,,,,,Lay Draw,mamelodisundowns,amazulu,6.4,1
2026-08-26,15:45,ENGLAND CUP,Newcastle x West Brom,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.77,1.38,85.8%,+3.26%,1,0.20230607966457023,,,,,,,,,Lay Draw,newcastle,westbrom,6.0,1
2026-08-26,15:45,ENGLAND CUP,Tottenham x Charlton,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.0,1.27,85.8%,+3.26%,1,0.16083333333333333,,,,,,,,,Lay Draw,tottenham,charlton,7.0,1
2026-08-26,16:00,SPAIN 1,Real Madrid x Real Sociedad,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.3,85.8%,+3.26%,1,0.16637931034482759,,,,,,,,,Lay Draw,realmadrid,realsociedad,6.8,1
2026-08-26,16:00,EUROPA CHAMPIONS LEAGUE,AEK Athens x PFC Levski Sofia,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.54,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,aekathens,pfclevskisofia,13.5,1
2026-08-26,19:30,BOLIVIA 1,Real Potosi x Real Tomayapo,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.87,1.34,85.8%,+3.26%,1,0.19815195071868583,,,,,,,,,Lay Draw,realpotosi,realtomayapo,5.9,1
2026-08-26,21:30,BOLIVIA 1,Blooming Santa Cruz x CDT Real Oruro,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,10.5,1.36,94.3%,+3.18%,1,0.10157894736842105,,,,,,,,,Lay Under 0.5,bloomingsantacruz,cdtrealoruro,1000.0,1
2026-08-26,21:30,BOLIVIA 1,Blooming Santa Cruz x CDT Real Oruro,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.18,1.36,85.8%,+3.26%,0,-1.0,,,,,,,,,Lay Draw,bloomingsantacruz,cdtrealoruro,7.2,0
2026-08-26,21:30,COPA SUDAMERICANA,River Plate x Santa Fe,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,11.55,1.36,94.3%,+3.18%,1,0.0914691943127962,,,,,,,,,Lay Under 0.5,riverplate,santafe,12.0,1
2026-08-26,21:30,COPA SUDAMERICANA,River Plate x Santa Fe,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.05,1.36,85.8%,+3.26%,0,-1.0,,,,,,,,,Lay Draw,riverplate,santafe,5.2,0
2026-08-27,13:45,EUROPA CONFERENCE LEAGUE,Freiburg x Motherwell,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,9.06,1.2,85.8%,+3.26%,1,0.11972704714640198,,,,,,,,,Lay Draw,freiburg,motherwell,9.2,1
2026-08-27,14:00,EGYPT 1,Pyramids x Abo Qair Semads,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.44,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,pyramids,aboqairsemads,14.5,1
2026-08-27,14:00,EUROPA CONFERENCE LEAGUE,FC Copenhagen x FC Inter Turku,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.18,1.31,85.8%,+3.26%,1,0.1862934362934363,,,,,,,,,Lay Draw,fccopenhagen,fcinterturku,6.4,1
2026-08-27,14:00,EUROPA CONFERENCE LEAGUE,Pafos FC x Dinamo Tirana,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.97,1.32,85.8%,+3.26%,1,0.19416498993963782,,,,,,,,,Lay Draw,pafosfc,dinamotirana,6.2,1
2026-08-27,14:00,EUROPA LEAGUE,Red Bull Salzburg x Mjallby,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.42,1.25,85.8%,+3.26%,1,0.15031152647975077,,,,,,,,,Lay Draw,redbullsalzburg,mjallby,7.6,1
2026-08-27,15:00,EUROPA CONFERENCE LEAGUE,Ajax x Sion,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.39,1.36,85.8%,+3.26%,1,0.1790352504638219,,,,,,,,,Lay Draw,ajax,sion,6.6,1
2026-08-27,15:30,EUROPA CONFERENCE LEAGUE,Brighton x Tromso,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.62,1.23,85.8%,+3.26%,1,0.1457703927492447,,,,,,,,,Lay Draw,brighton,tromso,7.6,1
2026-08-27,15:30,EUROPA LEAGUE,Anderlecht x Kairat Almaty,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.56,1.39,85.8%,+3.26%,1,0.21162280701754388,,,,,,,,,Lay Draw,anderlecht,kairatalmaty,5.6,1
2026-08-27,16:00,BOLIVIA 1,Always Ready x Aurora,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.39,1.28,85.8%,+3.26%,0,-1.0,,,,,,,,,Lay Draw,alwaysready,aurora,7.2,0
2026-08-27,16:00,ENGLAND CUP,Fulham x AFC Wimbledon,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.62,1.24,85.8%,+3.26%,1,0.1457703927492447,,,,,,,,,Lay Draw,fulham,afcwimbledon,7.8,1
2026-08-27,16:00,SPAIN 1,Barcelona x Athletic Bilbao,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.83,1.25,85.8%,+3.26%,1,0.14128843338213762,,,,,,,,,Lay Draw,barcelona,athleticbilbao,7.8,1
2026-08-27,21:30,BOLIVIA 1,Bolivar x Academia de Balompie Boliviano,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,9.68,1.2,85.8%,+3.26%,1,0.11117511520737328,,,,,,,,,Lay Draw,bolivar,academiadebalompieboliviano,10.5,1
2026-08-28,14:00,EGYPT 1,ZED FC x Al Ahly Cairo,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,10.29,1.47,94.3%,+3.18%,1,0.10387513455328311,,,,,,,,,Lay Under 0.5,zedfc,alahlycairo,11.0,1
2026-08-28,15:00,FRANCE 2,Montpellier x Boulogne,Lay 0x1 Super Fav,Correct Score (0x1),LAY,15.0,1.9,94.2%,+2.59%,1,0.06892857142857142,,,,,,,,,Lay 0x1,montpellier,boulogne,15.0,1
2026-08-28,15:00,SAUDI ARABIA 1,Al Nassr x Al-Taawoun Buraidah,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.29,85.8%,+3.26%,1,0.16637931034482759,,,,,,,,,Lay Draw,alnassr,altaawounburaidah,6.8,1
2026-08-28,15:30,GERMANY 1,Bayern Munich x Stuttgart,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,8.24,1.25,85.8%,+3.26%,1,0.13328729281767954,,,,,,,,,Lay Draw,bayernmunich,stuttgart,8.4,1
2026-08-28,15:30,TURKEY 2,Muglaspor x Boluspor,Lay Under 0.5 FT (Fav),Under 0.5 FT,LAY,12.6,1.58,94.3%,+3.18%,1,0.08318965517241379,,,,,,,,,Lay Under 0.5,muglaspor,boluspor,13.5,1
2026-08-28,15:45,IRELAND 2,Cork City x Wexford F.C,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.18,1.33,85.8%,+3.26%,1,0.1862934362934363,,,,,,,,,Lay Draw,corkcity,wexfordfc,6.6,1
2026-08-28,15:45,IRELAND 2,UCD x Finn Harps,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,7.83,1.25,85.8%,+3.26%,1,0.14128843338213762,,,,,,,,,Lay Draw,ucd,finnharps,8.0,1
2026-08-28,15:45,IRELAND 1,Bohemians x Sligo Rovers,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.28,85.8%,+3.26%,1,0.16637931034482759,,,,,,,,,Lay Draw,bohemians,sligorovers,6.8,1
2026-08-28,15:45,IRELAND 1,St Patricks x Waterford,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.77,1.4,85.8%,+3.26%,1,0.20230607966457023,,,,,,,,,Lay Draw,stpatricks,waterford,5.7,1
2026-08-28,15:45,WALES 1,The New Saints x Colwyn Bay,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.39,1.28,85.8%,+3.26%,1,0.1790352504638219,,,,,,,,,Lay Draw,thenewsaints,colwynbay,7.0,1
2026-08-28,16:15,ICELAND 2,Fylkir x Grotta,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.18,1.38,85.8%,+3.26%,1,0.1862934362934363,,,,,,,,,Lay Draw,fylkir,grotta,6.8,1
2026-08-28,20:30,BRAZIL 2,Nautico PE x Athletic Club,Lay 0x1 Super Fav,Correct Score (0x1),LAY,15.0,1.88,94.2%,+2.59%,1,0.06892857142857142,,,,,,,,,Lay 0x1,nauticope,athleticclub,19.0,1
2026-08-28,21:30,ARGENTINA 1,Boca Juniors x Lanus,Lay 0x1 Super Fav,Correct Score (0x1),LAY,14.0,1.88,94.2%,+2.59%,1,0.07423076923076923,,,,,,,,,Lay 0x1,bocajuniors,lanus,14.0,1
2026-08-29,05:00,ROMANIA 2,Bihor Oradea x CSL Stefanestii de Jos,Lay Draw Super Fav,,,5.77,,,,1,0.20230607966457023,2x0,GREEN,10.48,10.01,0.955,,,,Lay Draw,bihororadea,cslstefanestiidejos,7.0,1
2026-08-29,08:35,CHINA 1,Chengdu Rongcheng x Liaoning Tieren FC,Lay Draw Super Fav,,,5.97,,,,1,0.19416498993963782,2x1,GREEN,10.06,9.61,0.955,,,,Lay Draw,chengdurongcheng,liaoningtierenfc,6.2,1
2026-08-29,11:00,ICELAND 2,Afturelding x IF Vestri,Lay Draw Super Fav,,,8.86,,,,1,0.1227735368956743,1x0,GREEN,6.36,6.07,0.955,,,,Lay Draw,afturelding,ifvestri,9.8,1
2026-08-29,11:00,SCOTLAND 2,Partick x Queens Park,Lay Draw Super Fav,,,5.67,,,,0,-1.0,0x0,RED,10.71,-50.0,-4.67,,,,Lay Draw,partick,queenspark,5.9,0
2026-08-29,11:00,SCOTLAND 1,Celtic x Falkirk,Lay Draw Super Fav,,,7.0,,,,1,0.16083333333333333,3x1,GREEN,8.33,7.96,0.955,,,,Lay Draw,celtic,falkirk,7.0,1
