Data,Liga,Home,Away,ID_Evento,Odd_H_Back,Odd_A_Back,Odd_Under25_FT_Back,Odd_Over35_FT_Back,Metodo,Odd_Lay,passa_filtro,kh,ka,Green,Placar,Fonte
2026-08-22,VENEZUELA 1,Rayo Zuliano,Deportivo La Guaira,35964490,6.6,1.64,1.79,4.0,Lay_Home,7.0,1,rayozuliano,deportivolaguaira,True,1x4,manual_user
2026-08-22,USA 1,Inter Miami CF,Toronto FC,35947115,1.38,8.0,5.0,1.59,Lay_Draw,6.6,0,intermiamicf,torontofc,True,?,sinais1/0
2026-08-22,COLOMBIA 1,Ind Medellin,Cucuta Deportivo,35946024,1.27,14.0,2.4,2.78,Lay_Draw,6.8,1,indmedellin,cucutadeportivo,True,?,sinais1/0
2026-08-22,USA 1,Vancouver Whitecaps,FC Dallas,35947155,1.4,8.6,3.05,2.16,Lay_Draw,5.8,0,vancouverwhitecaps,fcdallas,True,?,sinais1/0
2026-08-23,CHINA 1,Shanghai Port FC,Qingdao Hainiu,35947513,1.35,9.0,3.8,1.85,Lay_Draw,6.6,0,shanghaiportfc,qingdaohainiu,True,?,sinais1/0
2026-08-23,FINLAND 1,KuPS,IFK Mariehamn,35948175,1.37,9.4,2.78,2.36,Lay_Draw,6.0,0,kups,ifkmariehamn,True,?,sinais1/0
2026-08-23,SWITZERLAND 1,Young Boys,FC Vaduz,35950898,1.33,9.6,4.9,1.6,Lay_Draw,6.8,0,youngboys,fcvaduz,True,?,sinais1/0
2026-08-23,NETHERLANDS 1,PSV,FC Groningen,35947045,1.31,10.5,4.4,1.72,Lay_Draw,7.0,0,psv,fcgroningen,True,?,sinais1/0
2026-08-23,NETHERLANDS 1,Cambuur Leeuwarden,Feyenoord,35945441,14.0,1.25,3.6,1.9,Lay_Draw,7.4,0,cambuurleeuwarden,feyenoord,True,2x5,manual_user
2026-08-23,BULGARIA 1,Septemvri,CSKA 1948 Sofia,35947435,6.2,1.61,1.98,3.5,Lay_Home,7.0,1,septemvri,cska1948sofia,False,1x0,manual_user
2026-08-23,ESTONIA 1,Parnu JK Vaprus,Tallinna FC Flora,35952168,5.2,1.59,2.96,2.16,Lay_Home,5.7,1,parnujkvaprus,tallinnafcflora,True,1x2,manual_user
2026-08-23,TURKEY 2,Boluspor,Mardin Buyuksehir Belediyespor,35969877,6.4,1.61,1.92,3.65,Lay_Home,7.2,1,boluspor,mardinbuyuksehirbelediyespor,True,0x3,manual_user
2026-08-23,BELGIUM 1,Club Brugge,Cercle Brugge,35949057,1.32,10.0,3.85,1.83,Lay_Draw,7.0,0,clubbrugge,cerclebrugge,True,?,sinais1/0
2026-08-23,BOSNIA 1,Borac Banja Luka,Celik Zenica,35969300,1.22,19.0,2.24,2.74,Lay_Draw,7.6,1,boracbanjaluka,celikzenica,True,?,sinais1/0
2026-08-23,ITALY 1,Frosinone,Juventus,35737568,8.2,1.48,2.38,2.78,Lay_Home,8.4,0,frosinone,juventus,True,0x1,manual_user
2026-08-23,SERBIA 1,Crvena Zvezda,Cukaricki,35952265,1.2,15.0,3.1,2.04,Lay_Draw,8.8,0,crvenazvezda,cukaricki,True,?,sinais1/0
2026-08-23,ISRAEL 1,Hapoel Jerusalem,Maccabi Tel Aviv,35945742,7.0,1.5,2.14,3.05,Lay_Home,8.6,0,hapoeljerusalem,maccabitelaviv,True,2x5,manual_user
2026-08-23,FRANCE 1,Rennes,Paris St-G,35963344,6.8,1.5,2.98,2.24,Lay_Home,7.0,0,rennes,parisstg,True,2x2,manual_user
2026-08-23,BOLIVIA 1,CDT Real Oruro,Bolivar,35964463,6.4,1.44,3.65,1.83,Lay_Home,8.0,0,cdtrealoruro,bolivar,True,2x4,manual_user
2026-08-23,BOSNIA 1,Zrinjski,Zeljeznicar,35966087,1.2,23.0,2.22,2.88,Lay_Draw,8.0,1,zrinjski,zeljeznicar,True,?,sinais1/0
2026-08-23,ICELAND 1,Vikingur Reykjavik,Valur,35969293,1.36,7.8,4.6,1.64,Lay_Draw,6.8,0,vikingurreykjavik,valur,True,?,sinais1/0
2026-08-23,PORTUGAL 1,Porto,Arouca,35949415,1.3,12.5,2.42,2.82,Lay_Draw,6.6,1,porto,arouca,True,?,sinais1/0
2026-08-23,SPAIN 1,Elche,Barcelona,35895544,9.4,1.37,2.88,2.34,Lay_Home,9.6,0,elche,barcelona,True,0x5,manual_user
2026-08-23,SPAIN 1,Elche,Barcelona,35895544,9.4,1.37,2.88,2.34,Lay_Draw,6.2,0,elche,barcelona,True,0x5,manual_user
2026-08-23,COLOMBIA 2,Quindio,Envigado,35970962,2.36,3.35,1.5,5.8,Lay_Over45,18.0,1,quindio,envigado,True,1x0,manual_user
2026-08-23,BOLIVIA 1,Real Tomayapo,Always Ready,35964481,5.7,1.61,2.36,2.66,Lay_Home,6.4,1,realtomayapo,alwaysready,True,1x1,manual_user
2026-08-23,PERU 1,Universitario de Deportes,CD Los Chankas,35949514,1.27,14.5,2.3,2.88,Lay_Draw,6.8,1,universitariodedeportes,cdloschankas,True,?,sinais1/0
2026-08-24,SAUDI ARABIA 1,NEOM Sports Club,Al-Quadisiya (KSA),35973462,6.8,1.51,2.7,2.42,Lay_Home,7.0,0,neomsportsclub,alquadisiyaksa,True,0x2,manual_user
2026-08-24,NETHERLANDS 2,Jong FC Utrecht,Heracles,35951327,6.4,1.52,2.62,2.44,Lay_Home,6.8,0,jongfcutrecht,heracles,True,1x6,manual_user
2026-08-24,PARAGUAY 1,Libertad,Sportivo San Lorenzo,35952439,1.37,11.0,2.26,2.96,Lay_Draw,5.4,1,libertad,sportivosanlorenzo,True,?,sinais1/0
2026-08-24,COLOMBIA 2,Boyaca Patriotas,Atletico FC Cali,35974913,1.39,9.6,2.22,3.05,Lay_Draw,5.4,1,boyacapatriotas,atleticofccali,True,?,sinais1/0
2026-08-25,SOUTH AFRICA 1,Orlando Pirates (SA),Sekhukhune United,35977946,1.36,12.0,1.83,3.85,Lay_Draw,5.4,1,orlandopiratessa,sekhukhuneunited,True,?,sinais1/0
2026-08-25,SAUDI ARABIA 1,Al-Ettifaq,Al Nassr,35970821,10.0,1.29,3.85,1.83,Lay_Draw,7.6,0,alettifaq,alnassr,True,2x3,manual_user
2026-08-25,ENGLAND CUP,Doncaster,Middlesbrough,35927693,6.0,1.62,2.38,2.72,Lay_Home,6.2,1,doncaster,middlesbrough,True,1x3,manual_user
2026-08-25,ENGLAND CUP,Sheff Wed,Wolves,35928144,6.2,1.61,2.24,3.05,Lay_Home,6.6,1,sheffwed,wolves,True,0x2,manual_user
2026-08-25,ICELAND 2,Afturelding,Grotta,35957099,1.26,10.0,4.6,1.6,Lay_Draw,9.0,0,afturelding,grotta,True,?,sinais1/0
2026-08-25,ARGENTINA 2,Deportivo Madryn,Godoy Cruz,35961638,2.2,4.4,1.5,6.0,Lay_Over45,18.5,1,deportivomadryn,godoycruz,True,2x0,manual_user
2026-08-25,COLOMBIA 1,Santa Fe,Jaguares de Cordoba,35972017,1.28,9.0,1.44,1.33,Lay_Over45,10.5,1,santafe,jaguaresdecordoba,,,
2026-08-26,NORWAY 2,Stromsgodset,Hodd,35957294,1.27,11.0,3.6,1.87,Lay_Draw,8.2,0,stromsgodset,hodd,True,?,sinais1/0
2026-08-26,SOUTH AFRICA 1,Mamelodi Sundowns,AmaZulu,35978182,1.28,15.5,2.08,3.2,Lay_Draw,6.4,1,mamelodisundowns,amazulu,True,?,sinais1/0
2026-08-26,ARGENTINA 2,Patronato,CA Atlanta,35961656,2.5,3.4,1.46,6.6,Lay_Over45,19.5,1,patronato,caatlanta,True,2x0,manual_user
2026-08-26,ENGLAND CUP,Newcastle,West Brom,35931576,1.38,9.4,2.84,2.3,Lay_Draw,6.0,0,newcastle,westbrom,True,?,sinais1/0
