League,Line,N1,N2,N3,consenso
SOUTH AFRICA 1,0.5,Over,Over,Over,Over
SOUTH AFRICA 2,0.5,Over,Over,Over,Over
SOUTH KOREA 1,0.5,Over,Over,Over,Over
SOUTH KOREA 2,0.5,Under,Over,Over,
SPAIN 1,0.5,Over,Over,Over,Over
SPAIN 2,0.5,Over,Over,Over,Over
SPAIN 3,0.5,Over,Over,Over,Over
SPAIN 4,0.5,Over,Over,Over,Over
SPAIN CUP,0.5,Over,Over,Over,Over
SWEDEN 1,0.5,Over,Over,Over,Over
SWEDEN 2,0.5,Over,Over,Over,Over
SWITZERLAND 1,0.5,Over,Over,Over,Over
SWITZERLAND 2,0.5,Under,Over,Over,
TURKEY 1,0.5,Over,Over,Over,Over
TURKEY 2,0.5,Over,Under,Over,
TURKEY CUP,0.5,Over,Under,Over,
UKRAINE 1,0.5,Under,Under,Over,
UKRAINE 2,0.5,Over,Over,Over,Over
URUGUAY 1,0.5,Over,Under,Over,
URUGUAY 2,0.5,Over,Over,Over,Over
USA 1,0.5,Over,Over,Over,Over
USA 2,0.5,Over,Over,Under,
VENEZUELA 1,0.5,Over,Over,Under,
VENEZUELA 2,0.5,Over,Under,Over,
WALES 1,0.5,Over,Under,Over,
WALES CUP,0.5,Over,Over,Over,Over
WOM BRAZIL 1,0.5,Over,Under,Under,
WOM ENGLAND 1,0.5,Under,Over,Over,
WOM FRANCE 1,0.5,Over,Over,Under,
WOM GERMANY 1,0.5,Over,Over,Over,Over
WOM ITALY 1,0.5,Over,Over,Over,Over
WOM SPAIN 1,0.5,Over,Under,Over,
WOM USA 1,0.5,Over,Over,Over,Over
WORLD AMERICA CUP,0.5,Over,Over,Over,Over
WORLD EUROCUP,0.5,Over,Over,Under,
WORLD UEFA NATIONS LEAGUE,0.5,Over,Over,Over,Over
WORLD WORLD CUP,0.5,Over,Over,Over,Over
ARGENTINA 1,1.5,Over,Over,Over,Over
ARGENTINA 2,1.5,Under,Over,Under,
ARGENTINA 3,1.5,Over,Under,Under,
ARGENTINA CUP,1.5,Over,Over,Over,Over
AUSTRALIA 1,1.5,Under,Under,Over,
AUSTRIA 1,1.5,Over,Over,Under,
AUSTRIA 2,1.5,Over,Over,Over,Over
BELGIUM 1,1.5,Over,Over,Under,
BELGIUM 2,1.5,Under,Over,Over,
BOLIVIA 1,1.5,Over,Under,Over,
BOLIVIA CUP,1.5,Over,Over,Over,Over
BOSNIA 1,1.5,Over,Over,Over,Over
BOSNIA 2,1.5,Under,Under,Over,
BRAZIL 1,1.5,Over,Over,Over,Over
BRAZIL 2,1.5,Over,Over,Under,
BRAZIL 3,1.5,Over,Under,Under,
BRAZIL 4,1.5,Under,Under,Under,Under
BRAZIL CUP,1.5,Over,Over,Over,Over
BULGARIA 1,1.5,Under,Under,Under,Under
BULGARIA 2,1.5,Over,Under,Over,
CHILE 1,1.5,Over,Over,Under,
CHILE 2,1.5,Under,Over,Over,
CHILE CUP,1.5,Over,Over,Over,Over
CHINA 1,1.5,Over,Under,Over,
CHINA 2,1.5,Over,Under,Over,
COLOMBIA 1,1.5,Over,Under,Over,
COLOMBIA 2,1.5,Under,Over,Under,
COPA LIBERTADORES,1.5,Under,Over,Under,
COPA SUDAMERICANA,1.5,Under,Over,Over,
CROATIA 1,1.5,Over,Over,Over,Over
CROATIA 2,1.5,Over,Over,Over,Over
CYPRUS 1,1.5,Over,Under,Over,
CYPRUS 2,1.5,Under,Over,Under,
CZECH 1,1.5,Under,Over,Over,
CZECH 2,1.5,Over,Over,Under,
DENMARK 1,1.5,Over,Under,Over,
DENMARK 2,1.5,Over,Under,Under,
ECUADOR 1,1.5,Under,Over,Over,
ECUADOR 2,1.5,Over,Under,Under,
ECUADOR CUP,1.5,Over,Under,Under,
EGYPT 1,1.5,Over,Over,Over,Over
EGYPT 2,1.5,Over,Under,Under,
ENGLAND 1,1.5,Under,Under,Over,
ENGLAND 2,1.5,Under,Over,Under,
ENGLAND 3,1.5,Over,Over,Over,Over
ENGLAND 4,1.5,Over,Over,Over,Over
ENGLAND 5,1.5,Over,Over,Under,
ENGLAND CUP,1.5,Under,Under,Over,
ESTONIA 1,1.5,Under,Over,Over,
ESTONIA 2,1.5,Under,Under,Under,Under
EUROPA CHAMPIONS LEAGUE,1.5,Over,Over,Over,Over
EUROPA CONFERENCE LEAGUE,1.5,Under,Over,Under,
EUROPA LEAGUE,1.5,Over,Under,Under,
FINLAND 1,1.5,Over,Under,Over,
FINLAND 2,1.5,Over,Over,Over,Over
FRANCE 1,1.5,Under,Over,Over,
FRANCE 2,1.5,Under,Over,Over,
FRANCE 3,1.5,Under,Under,Over,
FRANCE 4,1.5,Over,Over,Under,
FRANCE CUP,1.5,Over,Over,Under,
GERMANY 1,1.5,Over,Under,Over,
GERMANY 2,1.5,Under,Over,Under,
GERMANY 3,1.5,Over,Under,Over,
GERMANY CUP,1.5,Over,Under,Over,
GREECE 1,1.5,Over,Over,Over,Over
GREECE 2,1.5,Over,Under,Under,
ICELAND 1,1.5,Under,Under,Over,
ICELAND 2,1.5,Over,Under,Under,
IRELAND 1,1.5,Under,Over,Over,
IRELAND 2,1.5,Over,Over,Over,Over
ISRAEL 1,1.5,Over,Over,Over,Over
ISRAEL 2,1.5,Over,Over,Over,Over
ITALY 1,1.5,Over,Under,Under,
ITALY 2,1.5,Over,Over,Over,Over
ITALY 3,1.5,Over,Over,Over,Over
ITALY 4,1.5,Over,Over,Under,
ITALY CUP,1.5,Over,Over,Under,
JAPAN 1,1.5,Under,Under,Under,Under
JAPAN 2,1.5,Over,Under,Over,
JAPAN 3,1.5,Over,Under,Over,
MEXICO 1,1.5,Over,Under,Over,
MEXICO 2,1.5,Over,Over,Under,
NETHERLANDS 1,1.5,Over,Over,Over,Over
NETHERLANDS 2,1.5,Over,Under,Over,
NETHERLANDS CUP,1.5,Over,Over,Over,Over
NORTHERN IRELAND 1,1.5,Under,Over,Over,
NORTHERN IRELAND 2,1.5,Under,Under,Over,
NORWAY 1,1.5,Under,Over,Under,
NORWAY 2,1.5,Over,Over,Over,Over
PARAGUAY 1,1.5,Under,Under,Under,Under
PARAGUAY 2,1.5,Under,Under,Over,
PERU 1,1.5,Under,Under,Over,
PERU 2,1.5,Under,Under,Under,Under
POLAND 1,1.5,Over,Over,Over,Over
POLAND 2,1.5,Over,Over,Over,Over
PORTUGAL 1,1.5,Over,Over,Over,Over
PORTUGAL 2,1.5,Over,Over,Over,Over
PORTUGAL 3,1.5,Over,Under,Over,
PORTUGAL CUP,1.5,Over,Over,Over,Over
ROMANIA 1,1.5,Over,Under,Under,
ROMANIA 2,1.5,Over,Over,Under,
SAUDI ARABIA 1,1.5,Under,Over,Under,
SAUDI ARABIA 2,1.5,Over,Under,Over,
SCOTLAND 1,1.5,Under,Over,Under,
SCOTLAND 2,1.5,Over,Under,Under,
SCOTLAND 3,1.5,Under,Under,Over,
SCOTLAND 4,1.5,Over,Over,Over,Over
SCOTLAND CUP,1.5,Over,Over,Under,
SERBIA 1,1.5,Under,Under,Under,Under
SERBIA 2,1.5,Over,Over,Under,
SLOVAKIA 1,1.5,Under,Over,Over,
SLOVAKIA 2,1.5,Over,Over,Under,
SLOVENIA 1,1.5,Under,Under,Over,
SLOVENIA 2,1.5,Over,Over,Over,Over
SOUTH AFRICA 1,1.5,Over,Under,Under,
SOUTH AFRICA 2,1.5,Under,Over,Over,
SOUTH KOREA 1,1.5,Under,Under,Over,
SOUTH KOREA 2,1.5,Under,Over,Over,
SPAIN 1,1.5,Over,Over,Under,
SPAIN 2,1.5,Under,Over,Over,
SPAIN 3,1.5,Over,Over,Under,
SPAIN 4,1.5,Over,Under,Over,
SPAIN CUP,1.5,Under,Under,Over,
SWEDEN 1,1.5,Under,Under,Over,
SWEDEN 2,1.5,Over,Under,Over,
SWITZERLAND 1,1.5,Over,Under,Under,
SWITZERLAND 2,1.5,Over,Over,Over,Over
TURKEY 1,1.5,Under,Under,Over,
TURKEY 2,1.5,Over,Under,Over,
TURKEY CUP,1.5,Under,Over,Over,
UKRAINE 1,1.5,Over,Under,Over,
UKRAINE 2,1.5,Over,Over,Over,Over
URUGUAY 1,1.5,Under,Over,Under,
URUGUAY 2,1.5,Over,Over,Under,
USA 1,1.5,Under,Over,Under,
USA 2,1.5,Over,Under,Over,
VENEZUELA 1,1.5,Over,Over,Under,
VENEZUELA 2,1.5,Over,Over,Over,Over
WALES 1,1.5,Over,Under,Under,
WALES CUP,1.5,Over,Over,Under,
WOM BRAZIL 1,1.5,Over,Under,Over,
WOM ENGLAND 1,1.5,Over,Under,Over,
