League,Line,N1,N2,N3,consenso
SWITZERLAND 2,3.5,Over,Under,Under,
TURKEY 1,3.5,Over,Under,Under,
TURKEY 2,3.5,Under,Under,Under,Under
TURKEY CUP,3.5,Under,Under,Over,
UKRAINE 1,3.5,Under,Over,Over,
UKRAINE 2,3.5,Over,Under,Over,
URUGUAY 1,3.5,Under,Over,Under,
URUGUAY 2,3.5,Under,Over,Under,
USA 1,3.5,Under,Over,Under,
USA 2,3.5,Under,Under,Under,Under
VENEZUELA 1,3.5,Under,Over,Over,
VENEZUELA 2,3.5,Under,Over,Under,
WALES 1,3.5,Under,Over,Over,
WALES CUP,3.5,Under,Under,Under,Under
WOM BRAZIL 1,3.5,Under,Under,Under,Under
WOM ENGLAND 1,3.5,Under,Over,Under,
WOM FRANCE 1,3.5,Over,Over,Under,
WOM GERMANY 1,3.5,Over,Under,Under,
WOM ITALY 1,3.5,Under,Under,Under,Under
WOM SPAIN 1,3.5,Under,Under,Under,Under
WOM USA 1,3.5,Over,Over,Over,Over
WORLD AMERICA CUP,3.5,Under,Over,Under,
WORLD EUROCUP,3.5,Under,Under,Under,Under
WORLD UEFA NATIONS LEAGUE,3.5,Under,Under,Under,Under
WORLD WORLD CUP,3.5,Over,Over,Under,
ARGENTINA 1,4.5,Under,Over,Under,
ARGENTINA 2,4.5,Under,Under,Under,Under
ARGENTINA 3,4.5,Under,Under,Under,Under
ARGENTINA CUP,4.5,Under,Under,Under,Under
AUSTRALIA 1,4.5,Under,Under,Over,
AUSTRIA 1,4.5,Over,Over,Under,
AUSTRIA 2,4.5,Under,Under,Under,Under
BELGIUM 1,4.5,Under,Over,Over,
BELGIUM 2,4.5,Under,Over,Under,
BOLIVIA 1,4.5,Under,Over,Under,
BOLIVIA CUP,4.5,Under,Over,Under,
BOSNIA 1,4.5,Under,Under,Under,Under
BOSNIA 2,4.5,Under,Over,Under,
BRAZIL 1,4.5,Under,Over,Under,
BRAZIL 2,4.5,Under,Under,Under,Under
BRAZIL 3,4.5,Under,Under,Under,Under
BRAZIL 4,4.5,Under,Under,Under,Under
BRAZIL CUP,4.5,Under,Under,Under,Under
BULGARIA 1,4.5,Under,Under,Under,Under
BULGARIA 2,4.5,Over,Over,Under,
CHILE 1,4.5,Under,Under,Under,Under
CHILE 2,4.5,Under,Under,Under,Under
CHILE CUP,4.5,Under,Under,Under,Under
CHINA 1,4.5,Over,Under,Under,
CHINA 2,4.5,Over,Under,Under,
COLOMBIA 1,4.5,Under,Under,Under,Under
COLOMBIA 2,4.5,Under,Under,Under,Under
COPA LIBERTADORES,4.5,Over,Under,Over,
COPA SUDAMERICANA,4.5,Over,Under,Under,
CROATIA 1,4.5,Under,Under,Over,
CROATIA 2,4.5,Over,Under,Under,
CYPRUS 1,4.5,Under,Under,Under,Under
CYPRUS 2,4.5,Under,Under,Under,Under
CZECH 1,4.5,Under,Under,Under,Under
CZECH 2,4.5,Under,Under,Under,Under
DENMARK 1,4.5,Under,Under,Under,Under
DENMARK 2,4.5,Under,Under,Under,Under
ECUADOR 1,4.5,Under,Under,Under,Under
ECUADOR 2,4.5,Under,Under,Under,Under
ECUADOR CUP,4.5,Under,Over,Under,
EGYPT 1,4.5,Under,Under,Under,Under
EGYPT 2,4.5,Over,Under,Under,
ENGLAND 1,4.5,Over,Under,Under,
ENGLAND 2,4.5,Under,Under,Under,Under
ENGLAND 3,4.5,Over,Under,Under,
ENGLAND 4,4.5,Under,Over,Over,
ENGLAND 5,4.5,Under,Over,Under,
ENGLAND CUP,4.5,Under,Under,Under,Under
ESTONIA 1,4.5,Over,Over,Under,
ESTONIA 2,4.5,Over,Under,Under,
EUROPA CHAMPIONS LEAGUE,4.5,Under,Under,Under,Under
EUROPA CONFERENCE LEAGUE,4.5,Under,Over,Under,
EUROPA LEAGUE,4.5,Under,Under,Under,Under
FINLAND 1,4.5,Under,Under,Over,
FINLAND 2,4.5,Over,Under,Under,
FRANCE 1,4.5,Over,Over,Under,
FRANCE 2,4.5,Under,Over,Under,
FRANCE 3,4.5,Under,Over,Under,
FRANCE 4,4.5,Over,Under,Over,
FRANCE CUP,4.5,Under,Under,Under,Under
GERMANY 1,4.5,Under,Under,Under,Under
GERMANY 2,4.5,Over,Under,Under,
GERMANY 3,4.5,Under,Under,Under,Under
GERMANY CUP,4.5,Under,Over,Under,
GREECE 1,4.5,Over,Under,Under,
GREECE 2,4.5,Under,Under,Under,Under
ICELAND 1,4.5,Over,Over,Over,Over
ICELAND 2,4.5,Under,Over,Over,
IRELAND 1,4.5,Under,Over,Under,
IRELAND 2,4.5,Under,Under,Under,Under
ISRAEL 1,4.5,Over,Under,Over,
ISRAEL 2,4.5,Under,Under,Under,Under
ITALY 1,4.5,Over,Over,Over,Over
ITALY 2,4.5,Under,Under,Under,Under
ITALY 3,4.5,Under,Under,Over,
ITALY 4,4.5,Under,Under,Under,Under
ITALY CUP,4.5,Under,Under,Under,Under
JAPAN 1,4.5,Under,Under,Over,
JAPAN 2,4.5,Under,Under,Under,Under
JAPAN 3,4.5,Over,Under,Over,
MEXICO 1,4.5,Under,Under,Under,Under
MEXICO 2,4.5,Over,Under,Under,
NETHERLANDS 1,4.5,Under,Under,Under,Under
NETHERLANDS 2,4.5,Under,Under,Under,Under
NETHERLANDS CUP,4.5,Over,Under,Under,
NORTHERN IRELAND 1,4.5,Over,Over,Under,
NORTHERN IRELAND 2,4.5,Under,Over,Under,
NORWAY 1,4.5,Over,Under,Over,
NORWAY 2,4.5,Over,Under,Under,
PARAGUAY 1,4.5,Under,Under,Under,Under
PARAGUAY 2,4.5,Under,Over,Under,
PERU 1,4.5,Over,Under,Under,
PERU 2,4.5,Under,Under,Under,Under
POLAND 1,4.5,Under,Under,Over,
POLAND 2,4.5,Under,Under,Over,
PORTUGAL 1,4.5,Under,Under,Under,Under
PORTUGAL 2,4.5,Under,Under,Under,Under
PORTUGAL 3,4.5,Under,Over,Over,
PORTUGAL CUP,4.5,Over,Under,Under,
ROMANIA 1,4.5,Under,Under,Under,Under
ROMANIA 2,4.5,Under,Under,Under,Under
SAUDI ARABIA 1,4.5,Over,Over,Under,
SAUDI ARABIA 2,4.5,Under,Over,Under,
SCOTLAND 1,4.5,Under,Under,Over,
SCOTLAND 2,4.5,Under,Under,Under,Under
SCOTLAND 3,4.5,Under,Under,Over,
SCOTLAND 4,4.5,Under,Over,Under,
SCOTLAND CUP,4.5,Under,Over,Over,
SERBIA 1,4.5,Under,Under,Under,Under
SERBIA 2,4.5,Under,Under,Over,
SLOVAKIA 1,4.5,Under,Under,Under,Under
SLOVAKIA 2,4.5,Over,Under,Under,
SLOVENIA 1,4.5,Under,Over,Under,
SLOVENIA 2,4.5,Under,Over,Under,
SOUTH AFRICA 1,4.5,Under,Under,Under,Under
SOUTH AFRICA 2,4.5,Under,Under,Over,
SOUTH KOREA 1,4.5,Over,Over,Under,
SOUTH KOREA 2,4.5,Under,Over,Under,
SPAIN 1,4.5,Over,Over,Under,
SPAIN 2,4.5,Over,Over,Under,
SPAIN 3,4.5,Under,Over,Under,
SPAIN 4,4.5,Under,Under,Under,Under
SPAIN CUP,4.5,Under,Under,Over,
SWEDEN 1,4.5,Under,Under,Under,Under
SWEDEN 2,4.5,Under,Over,Under,
SWITZERLAND 1,4.5,Under,Under,Under,Under
SWITZERLAND 2,4.5,Under,Over,Under,
TURKEY 1,4.5,Under,Under,Under,Under
TURKEY 2,4.5,Over,Over,Under,
TURKEY CUP,4.5,Under,Under,Under,Under
UKRAINE 1,4.5,Under,Under,Under,Under
UKRAINE 2,4.5,Under,Over,Under,
URUGUAY 1,4.5,Under,Under,Under,Under
URUGUAY 2,4.5,Under,Under,Under,Under
USA 1,4.5,Over,Under,Under,
USA 2,4.5,Under,Under,Under,Under
VENEZUELA 1,4.5,Under,Under,Under,Under
VENEZUELA 2,4.5,Under,Over,Under,
WALES 1,4.5,Under,Under,Under,Under
WALES CUP,4.5,Over,Under,Under,
WOM BRAZIL 1,4.5,Under,Over,Under,
WOM ENGLAND 1,4.5,Under,Over,Over,
WOM FRANCE 1,4.5,Under,Over,Under,
WOM GERMANY 1,4.5,Over,Under,Under,
WOM ITALY 1,4.5,Over,Over,Under,
WOM SPAIN 1,4.5,Under,Over,Under,
WOM USA 1,4.5,Under,Over,Over,
WORLD AMERICA CUP,4.5,Under,Under,Under,Under
WORLD EUROCUP,4.5,Under,Under,Under,Under
WORLD UEFA NATIONS LEAGUE,4.5,Under,Under,Under,Under
WORLD WORLD CUP,4.5,Over,Over,Over,Over
