Data,Metodo,Home,Away,Odd,placar_gravado,placar_verificado,fonte,resultado_gravado,resultado_verificado,pnl_gravado,pnl_verificado,placar_bate,resultado_bate
2026-09-05,Lay Home / DC X2 (Fav Visitante <= 1.65),Al-Ittihad,Al Nassr,5.7,2x1,,,RED,SEM_PLACAR,-1.0,,,
2026-09-05,Lay Home / DC X2 (Fav Visitante <= 1.65),St Mirren,Celtic,7.6,1x2,,,GREEN,SEM_PLACAR,0.1439,,,
2026-09-05,Lay Draw (Fav <= 1.40),Sporting Lisbon,CD Nacional Funchal,9.8,2x0,,,GREEN,SEM_PLACAR,0.108,,,
2026-09-05,Lay Draw (Fav <= 1.40),Cusco FC,Cesar Vallejo Moquegua,6.8,2x0,,,GREEN,SEM_PLACAR,0.1638,,,
2026-09-05,Lay Draw (Fav <= 1.40),Inter Miami CF,Atlanta Utd,7.4,2x2,,,RED,SEM_PLACAR,-1.0,,,
2026-09-05,Lay Draw (Fav <= 1.40),Junior FC Barranquilla,Jaguares de Cordoba,5.3,3x3,,,RED,SEM_PLACAR,-1.0,,,
2026-09-05,Lay Draw (Fav <= 1.40),Universitario de Deportes,Comerciantes Unidos,6.0,2x2,,,RED,SEM_PLACAR,-1.0,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),CSM Satu Mare,Politehnica Timisoara,8.8,1x1,,,GREEN,SEM_PLACAR,0.1218,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Paide Linnameeskond,FCI Tallinn,6.6,0x1,,,GREEN,SEM_PLACAR,0.1696,,,
2026-09-06,Lay Draw (Fav <= 1.40),Orgryte,Hammarby,7.8,1x1,,,RED,SEM_PLACAR,-1.0,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Golden Arrows,Mamelodi Sundowns,9.2,1x2,,,GREEN,SEM_PLACAR,0.1159,,,
2026-09-06,Lay Over 4.5 FT (Under Pesado),Cerro,Racing Club (Uru),18.5,1x0,,,GREEN,SEM_PLACAR,0.0543,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),GD Vitoria de Sernache,CF Os Belenenses,7.2,1x2,,,GREEN,SEM_PLACAR,0.1532,,,
2026-09-06,Lay Draw (Fav <= 1.40),Valencia,Barcelona,7.0,0x3,,,GREEN,SEM_PLACAR,0.1583,,,
2026-09-06,Lay Draw (Fav <= 1.40),Molde,Kfum Oslo,6.6,2x0,,,GREEN,SEM_PLACAR,0.1696,,,
2026-09-06,Lay Draw (Fav <= 1.40),Rudes,Hajduk Split,6.8,0x3,,,GREEN,SEM_PLACAR,0.1638,,,
2026-09-06,Lay Draw (Fav <= 1.40),Sporting Cristal,CD Los Chankas,6.8,3x0,,,GREEN,SEM_PLACAR,0.1638,,,
2026-09-06,Lay Draw (Fav <= 1.40),Crvena Zvezda,Partizan Belgrade,7.2,2x1,,,GREEN,SEM_PLACAR,0.1532,,,
2026-09-06,Lay Over 4.5 FT (Under Pesado),CA San Miguel,Godoy Cruz,19.5,1x2,,,GREEN,SEM_PLACAR,0.0514,,,
2026-09-06,Lay Draw (Fav <= 1.40),Zrinjski,Siroki Brijeg,6.4,2x1,,,GREEN,SEM_PLACAR,0.1759,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Lokomotiv Sofia,Ludogorets,8.0,1x2,,,GREEN,SEM_PLACAR,0.1357,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Remo,Flamengo,7.6,0x1,,,GREEN,SEM_PLACAR,0.1439,,,
2026-09-06,Lay Draw (Fav <= 1.40),Vojvodina,Zemun,8.8,2x1,,,GREEN,SEM_PLACAR,0.1218,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Huachipato,Colo Colo,7.2,0x0,,,GREEN,SEM_PLACAR,0.1532,,,
2026-09-06,Lay Home / DC X2 (Fav Visitante <= 1.65),Ponte Preta,Sao Bernardo,10.0,0x2,,,GREEN,SEM_PLACAR,0.1056,,,
2026-09-06,Lay Draw (Fav <= 1.40),Deportivo Tachira,Rayo Zuliano,7.8,3x1,,,GREEN,SEM_PLACAR,0.1397,,,
2026-09-06,Lay Draw (Fav <= 1.40),The Strongest,Real Tomayapo,9.2,3x1,,,GREEN,SEM_PLACAR,0.1159,,,
2026-09-06,Lay Draw (Fav <= 1.40),Cruz Azul,Santos Laguna,5.9,1x0,,,GREEN,SEM_PLACAR,0.1939,,,
2026-09-06,Lay Draw (Fav <= 1.40),Deportivo Pereira,Millonarios,5.6,1x1,,,RED,SEM_PLACAR,-1.0,,,
2026-09-06,Lay Draw (Fav <= 1.40),Melgar,Asociacion Deportiva Tarma,5.3,3x0,,,GREEN,SEM_PLACAR,0.2209,,,
