Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-04,09:00:00,FRANCE 2,Montpellier x ESTAC Troyes,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-04,09:00:00,FRANCE 2,Montpellier x ESTAC Troyes,Lay_CS_1x0_B365,13.5,13.5,1.0
2026-04-04,09:00:00,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-04,09:00:00,ROMANIA 1,Otelul Galati x Hermannstadt,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-04,09:45:00,POLAND 1,Rakow Czestochowa x Widzew Lodz,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-04,09:45:00,POLAND 1,Rakow Czestochowa x Widzew Lodz,Lay_CS_1x0_B365,8.2,8.2,1.0
2026-04-04,10:30:00,SLOVAKIA 1,Tatran Presov x Ruzomberok,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-04,10:30:00,SLOVAKIA 1,Tatran Presov x Ruzomberok,Lay_CS_1x0_B365,8.6,8.6,1.0
2026-04-04,10:30:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,15:00:00,SAUDI ARABIA 1,Al Riyadh SC x Al-Shabab (KSA),Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-05,12:55:00,SAUDI ARABIA 1,Al-Akhdoud x Al-Fateh (KSA),Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,16:00:00,SPAIN 1,Alaves x Osasuna,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-05,16:00:00,SPAIN 1,Alaves x Osasuna,Lay_CS_1x0_B365,9.4,9.4,1.0
2026-04-05,10:00:00,FRANCE 1,Angers x Lyon,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-05,19:30:00,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,19:30:00,BRAZIL 1,Bahia x SE Palmeiras,Lay_CS_1x0_B365,10.5,10.5,1.0
2026-04-05,10:30:00,CZECH 1,Banik Ostrava x Slavia Prague,Lay_CS_0x1_B365,10.0,10.0,1.0
2026-04-05,16:00:00,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-05,16:00:00,BRAZIL 1,Chapecoense x EC Vitoria Salvador,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-05,19:30:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_0x1_B365,11.5,11.5,0.0
2026-04-05,19:30:00,BRAZIL 1,Corinthians x Internacional,Lay_CS_1x0_B365,7.4,7.4,1.0
2026-04-05,16:30:00,CHILE 1,Deportes Concepcion x Colo Colo,Lay_CS_0x1_B365,8.8,8.8,0.0
2026-04-05,08:30:00,TURKEY 1,Fatih Karagumruk Istanbul x Rizespor,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-05,08:30:00,TURKEY 1,Fatih Karagumruk Istanbul x Rizespor,Lay_CS_1x0_B365,14.0,14.0,1.0
2026-04-05,13:00:00,ISRAEL 1,FC Ashdod x Maccabi Netanya,Lay_CS_0x1_B365,15.0,15.0,1.0
2026-04-05,09:30:00,NETHERLANDS 1,FC Volendam x Feyenoord,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,12:15:00,FRANCE 1,Le Havre x Auxerre,Lay_CS_0x1_B365,9.8,9.8,1.0
2026-04-05,12:15:00,FRANCE 1,Le Havre x Auxerre,Lay_CS_1x0_B365,8.4,8.4,1.0
2026-04-05,12:15:00,FRANCE 1,Lorient x Paris FC,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,12:15:00,FRANCE 1,Lorient x Paris FC,Lay_CS_1x0_B365,9.6,9.6,1.0
2026-04-05,12:15:00,FRANCE 1,Metz x Nantes,Lay_CS_0x1_B365,9.6,9.6,1.0
2026-04-05,12:15:00,FRANCE 1,Metz x Nantes,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-05,10:00:00,SWEDEN 2,Norrby IF x IK Brage,Lay_CS_0x1_B365,12.0,12.0,0.0
2026-04-05,10:00:00,SWEDEN 2,Norrby IF x IK Brage,Lay_CS_1x0_B365,13.0,13.0,1.0
2026-04-05,13:30:00,SPAIN 1,Oviedo x Sevilla,Lay_CS_0x1_B365,8.4,8.4,1.0
2026-04-05,13:30:00,SPAIN 1,Oviedo x Sevilla,Lay_CS_1x0_B365,8.8,8.8,0.0
2026-04-05,08:30:00,TURKEY 1,Samsunspor x Konyaspor,Lay_CS_0x1_B365,13.5,13.5,1.0
2026-04-05,08:30:00,TURKEY 1,Samsunspor x Konyaspor,Lay_CS_1x0_B365,10.5,10.5,1.0
2026-04-05,10:00:00,TURKEY 2,Sivasspor x Erokspor A.S,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-05,10:00:00,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-05,10:00:00,SWEDEN 2,Sundsvall x United IK Nordic,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-05,08:35:00,CHINA 1,Tianjin Jinmen Tiger FC x Shanghai Shenhua,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,10:30:00,GERMANY 1,Union Berlin x St Pauli,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-05,10:30:00,GERMANY 1,Union Berlin x St Pauli,Lay_CS_1x0_B365,7.2,7.2,1.0
2026-04-05,11:15:00,SPAIN 1,Valencia x Celta Vigo,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-05,11:15:00,SPAIN 1,Valencia x Celta Vigo,Lay_CS_1x0_B365,8.6,8.6,1.0
2026-04-06,11:30:00,ROMANIA 1,ACS Petrolul 52 x Csikszereda,Lay_CS_0x1_B365,15.5,15.5,1.0
2026-04-06,11:30:00,ROMANIA 1,ACS Petrolul 52 x Csikszereda,Lay_CS_1x0_B365,7.4,7.4,1.0
2026-04-06,12:30:00,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-06,12:30:00,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_1x0_B365,6.4,6.4,1.0
2026-04-06,09:30:00,NORWAY 2,Asane x Moss,Lay_CS_0x1_B365,13.0,13.0,1.0
