Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Profile_Mode,Mult_Metodo,Mult_Odd_Band,Mult_Intradia,Stake_Final_Aplicada
2026-04-01,00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_1x0_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-01,EXECUTED,,12.6225,12.6225,500.0,512.6225,12.6225,0.3,Fase_1_30pct,moderado,0.9,1.0,1.0,135.0
2026-04-04,00:00,SPAIN 2,Albacete x Burgos,Lay_CS_1x0_B365,7.6,7.6,1.0,7.6,1.0,7.6,,2026-04-04,EXECUTED,,21.568591687500003,34.191091687500005,500.0,534.1910916874999,34.191091687500005,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,152.2488825
2026-04-04,00:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_1x0_B365,11.0,11.0,0.0,11.0,0.0,11.0,,2026-04-04,EXECUTED,,-144.23159475562497,-110.04050306812496,500.0,500.0,-110.04050306812496,0.3,Fase_1_30pct,moderado,0.9,1.0,1.0,144.23159475562497
2026-04-13,00:00,SPAIN 2,Valladolid x Eibar,Lay_CS_1x0_B365,7.6,7.6,1.0,7.6,1.0,7.6,,2026-04-13,EXECUTED,,21.0375,-89.00300306812497,500.0,521.0375,-89.00300306812497,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,148.5
2026-04-19,00:00,ITALY 1,Pisa x Genoa,Lay_CS_1x0_B365,9.0,9.0,1.0,9.0,1.0,9.0,,2026-04-19,EXECUTED,,18.0861885703125,-70.91681449781247,500.0,539.1236885703125,-70.91681449781247,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,154.7481375
2026-04-19,00:00,SPAIN 2,Albacete x Granada,Lay_CS_1x0_B365,9.2,9.2,1.0,9.2,1.0,9.2,,2026-04-19,EXECUTED,,17.427666333970024,-53.489148163842444,500.0,556.5513549042826,-53.489148163842444,0.3,Fase_1_30pct,moderado,0.9,1.05,1.0,152.8415657096836
2026-04-25,00:00,SPAIN 2,Burgos x Deportivo,Lay_CS_1x0_B365,8.2,8.2,1.0,8.2,1.0,8.2,,2026-04-25,EXECUTED,,21.46549006946455,-32.02365809437789,500.0,578.0168449737471,-32.02365809437789,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,165.29575240657192
2026-04-25,00:00,ITALY 1,Verona x Lecce,Lay_CS_1x0_B365,7.4,7.4,1.0,7.4,1.0,7.4,,2026-04-25,EXECUTED,,25.08006058827886,-6.943597506099032,500.0,603.096905562026,-6.943597506099032,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,171.67100295720292
