Data_Arquivo,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-01,SPAIN 2,Andorra CF x Malaga,Lay_CS_1x0_B365,11.0,11.0,1.0
2026-04-04,SPAIN 2,Albacete x Burgos,Lay_CS_1x0_B365,7.6,7.6,1.0
2026-04-04,SPAIN 2,Leonesa x Valladolid,Lay_CS_1x0_B365,11.0,11.0,0.0
2026-04-13,SPAIN 2,Valladolid x Eibar,Lay_CS_1x0_B365,7.6,7.6,1.0
2026-04-19,SPAIN 2,Albacete x Granada,Lay_CS_1x0_B365,9.2,9.2,1.0
2026-04-25,SPAIN 2,Burgos x Deportivo,Lay_CS_1x0_B365,8.2,8.2,1.0
