Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,PnL_Linha,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase,Profile_Mode,Mult_Metodo,Mult_Odd_Band,Mult_Intradia,Stake_Final_Aplicada
2026-04-01,00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_0x1_B365,13.0,13.0,1.0,13.0,1.0,13.0,,2026-04-01,EXECUTED,,12.856250000000001,12.856250000000001,500.0,512.85625,12.856250000000001,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,165.0
2026-04-01,00:00,SPAIN 2,Andorra CF x Malaga,Lay_CS_1x0_B365,11.0,11.0,1.0,11.0,1.0,11.0,,2026-04-01,EXECUTED,,12.947056031250002,25.803306031250003,500.0,525.80330603125,25.803306031250003,0.3,Fase_1_30pct,moderado,0.9,1.0,1.0,138.4711875
2026-04-03,00:00,NETHERLANDS 2,MVV Maastricht x RKC Waalwijk,Lay_CS_0x1_B365,13.0,13.0,1.0,13.0,1.0,13.0,,2026-04-03,EXECUTED,,13.519717506328519,39.32302353757852,500.0,539.3230235375786,39.32302353757852,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,173.51509099031253
2026-04-04,00:00,SPAIN 2,Cadiz x Cordoba,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,15.848392277382848,55.17141581496137,500.0,555.1714158149614,55.17141581496137,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,177.97659776740093
2026-04-04,00:00,SLOVAKIA 1,Tatran Presov x Ruzomberok,Lay_CS_0x1_B365,13.5,13.5,1.0,13.5,1.0,13.5,,2026-04-04,EXECUTED,,13.703851227976509,68.87526704293788,500.0,568.8752670429379,68.87526704293788,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,183.20656721893727
2026-04-04,00:00,SLOVAKIA 1,Zemplin x Zilina,Lay_CS_0x1_B365,11.5,11.5,1.0,11.5,1.0,11.5,,2026-04-04,EXECUTED,,16.716806061533195,85.59207310447107,500.0,585.5920731044712,85.59207310447107,0.3,Fase_1_30pct,moderado,1.1,1.0,1.0,187.72883812416953
2026-04-04,00:00,SPAIN 2,Albacete x Burgos,Lay_CS_0x1_B365,9.6,9.6,1.0,9.6,1.0,9.6,,2026-04-04,EXECUTED,,22.06030882141905,107.65238192589013,500.0,607.6523819258903,107.65238192589013,0.3,Fase_1_30pct,moderado,1.1,1.05,1.0,202.90765333069928
2026-04-04,00:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_0x1_B365,9.8,9.8,1.0,9.8,1.0,9.8,,2026-04-04,EXECUTED,,22.37110222334036,130.02348414923048,500.0,630.0234841492306,130.02348414923048,0.3,Fase_1_30pct,moderado,1.1,1.05,1.0,210.551550337321
2026-04-04,00:00,SPAIN 2,Albacete x Burgos,Lay_CS_1x0_B365,7.6,7.6,1.0,7.6,1.0,7.6,,2026-04-04,EXECUTED,,26.508238095578886,156.53172224480937,500.0,656.5317222448095,156.53172224480937,0.3,Fase_1_30pct,moderado,0.9,1.1,1.0,187.1169747923215
2026-04-04,00:00,SPAIN 2,Leonesa x Valladolid,Lay_CS_1x0_B365,11.0,11.0,0.0,11.0,0.0,11.0,,2026-04-04,EXECUTED,,-177.2635650060986,-20.731842761289215,500.0,500.0,-20.731842761289215,0.3,Fase_1_30pct,moderado,0.9,1.0,1.0,177.2635650060986
