runner,lado,fav,gols,lado_fav,corte,N_rec,perdas_rec,ROI_rec,IC_lo,IC_hi,p_ic,dias,N_antes,ROI_antes,P_perm,odd_med,aprovado,BH_ic,BH_perm,fam
CS_Goleada_A,lay,Todos,U25 1.60-2.20,fav casa,Todos,490,6,0.9774931146976781,0.1893761836568652,1.7937910695405286,0.0075,33,1978,-0.04893880456314897,0.07,46.0,False,False,False,CS
CS_1x1,lay,fav>1.80,U25<=1.60,Todos,Todos,238,20,5.191811909795583,1.1442064292083878,9.514130052623667,0.0075,33,1187,-8.145657138611497,0.0,7.4,False,False,True,CS
Over25_FT,back,fav1.40-1.80,Todos,fav fora,Todos,142,49,11.273591549295773,2.439576670220325,20.500366279069755,0.0075,26,662,-6.376283987915412,0.0175,1.7,False,False,False,nao-CS
Under05_HT,lay,fav1.40-1.80,Todos,fav fora,TOP 3,66,10,15.495671253713075,2.6719627048373678,27.364748936893697,0.0085,26,347,-0.9301179965784183,0.015,3.625,False,False,False,nao-CS
CS_1x1,lay,fav<=1.40,Todos,fav casa,Todos,155,5,2.987713602028567,0.46727000043923383,5.55771865727624,0.0085,30,657,2.6133949215856744,0.435,15.0,False,False,False,CS
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,14,23.108536585365854,2.842926356589146,44.319769736842076,0.0105,19,236,-6.55783898305085,0.035,1.89,False,False,False,nao-CS
CS_1x2,lay,Todos,U25<=1.60,Todos,TOP 3,85,2,4.320181741121969,0.6110974091968598,6.923381097805851,0.0105,34,459,-1.7799078739353336,0.0275,14.5,False,False,False,CS
CS_0x1,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,272,10,2.4434955095872226,0.3623403847300069,4.442017211530645,0.0115,31,1201,-1.9654200940925652,0.0075,20.0,False,False,False,CS
Over35_FT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,56,32,46.08482142857142,7.182827380952375,74.9547682030129,0.0125,19,297,-7.881818181818187,0.01,3.45,False,False,False,nao-CS
CS_Goleada_A,lay,fav>1.80,U25 1.60-2.20,fav casa,Todos,474,6,0.964308303020856,0.1487753421875414,1.7998447575432237,0.0125,33,1921,-0.08967803031531055,0.0575,46.0,False,False,False,CS
CS_1x1,lay,Todos,Todos,fav casa,TOP 3,106,8,6.435057538738176,0.8502986571672243,11.064981957761354,0.014,36,622,1.0263378692925362,0.0825,7.2,False,False,False,CS
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,14,27.984916687602723,3.5654395222568773,55.19255160652753,0.014,19,236,-2.1599929533862543,0.0375,1.99,False,False,False,nao-CS
