runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
D,lay,fav1.40-1.80,Todos,Todos,TOP 3,103,17,83.49514563106796,76.37980607294065,7.115339558127298,4.0,9.191196004088608,0.2057314946668323,17.495376028415926,0.024,36,0,,0,,103,9.191196004088608,False,INCONCLUSIVO
CS_1x1,lay,Todos,U25<=1.60,fav casa,Todos,202,18,91.0891089108911,87.4353172376474,3.6537916732437004,7.4,4.2211401345017165,0.03678098112460429,8.698731364625587,0.024,33,0,,0,,202,4.2211401345017165,False,INCONCLUSIVO
CS_1x1,lay,Todos,U25<=1.60,Todos,Todos,263,24,90.8745247148289,87.33636226340474,3.538162451424165,7.4,4.089020488824318,-0.022112234520820475,8.345219985410706,0.0255,34,0,,0,,263,4.089020488824318,False,INCONCLUSIVO
CS_3x2,back,fav1.40-1.80,U25>2.20,Todos,Todos,280,261,6.785714285714284,4.964072679609531,1.8216416061047527,23.0,55.901785714285715,-0.43878241104501464,122.75920560283451,0.026,33,0,,0,,280,55.901785714285715,False,INCONCLUSIVO
CS_1x1,lay,Todos,U25>2.20,Todos,TOP 3,100,6,94.0,89.36764551827008,4.632354481729917,8.6,5.183978855618145,-0.1869555522725761,9.699256118500074,0.0265,35,0,,0,,100,5.183978855618145,False,INCONCLUSIVO
1X,lay,fav1.40-1.80,Todos,Todos,Todos,147,46,68.70748299319727,62.92960050916571,5.777882484031571,2.6,8.84979396208768,-0.22580051529591566,18.609960156784176,0.0265,26,0,,0,,147,8.84979396208768,False,INCONCLUSIVO
CS_0x1,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,216,6,97.22222222222221,95.49217725534355,1.7300449668786744,21.0,1.8091753163371704,-0.027235925922802908,3.6119373846800604,0.027,30,0,,0,,216,1.8091753163371704,False,INCONCLUSIVO
CS_3x2,back,fav1.40-1.80,U25>2.20,fav casa,Todos,245,228,6.938775510204087,4.922634490472553,2.0161410197315344,23.0,55.64285714285714,-2.664448275862072,125.22654729672553,0.03,33,0,,0,,245,55.64285714285714,False,INCONCLUSIVO
CS_1x2,back,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,217,198,8.75576036866359,5.404167351612065,3.351593017051525,20.0,71.04377880184332,-4.087274928263999,150.42226248194717,0.034,30,0,,0,,217,71.04377880184332,False,INCONCLUSIVO
Over35_FT,back,fav1.40-1.80,Todos,fav fora,Todos,146,82,43.83561643835616,38.50321004461705,5.332406393739114,2.75,19.425684931506844,-3.020953114754103,40.66435145888591,0.038,26,0,,0,,146,19.425684931506844,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,220,97,55.90909090909091,51.06197953911283,4.847111369978075,2.02,10.039044056213053,-1.0702588349057032,20.022524014795035,0.0395,30,0,,0,,220,10.039044056213053,False,INCONCLUSIVO
Over15_HT,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,274,167,39.05109489051095,34.58189803616138,4.469196854349578,2.96,12.741970802919706,-2.201323237723654,25.052074837137862,0.0395,31,0,,0,,274,12.741970802919706,False,INCONCLUSIVO
Over25_FT,back,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,220,97,55.90909090909091,51.08625148185626,4.822839427234649,1.98,9.942499999999997,-1.128712884411454,19.894717093115272,0.04,30,0,,0,,220,9.942499999999997,False,INCONCLUSIVO
Under15_HT,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,274,167,39.05109489051095,34.59412645745075,4.456968433060204,1.51,12.639422377095702,-2.345796597582199,24.95993702950059,0.0415,31,0,,0,,274,12.639422377095702,False,INCONCLUSIVO
CS_1x2,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,273,246,9.890109890109889,6.66495225740701,3.2251576327028784,19.5,61.507326007326,-5.995294620218284,135.63515625,0.0415,31,0,,0,,273,61.507326007326,False,INCONCLUSIVO
D,lay,fav<=1.40,Todos,fav casa,Todos,150,15,90.0,85.6263593916925,4.373640608307506,6.6,5.184668936820813,-0.7405909057704696,10.680720846610708,0.043,29,0,,0,,150,5.184668936820813,False,INCONCLUSIVO
Under35_FT,lay,fav1.40-1.80,Todos,fav fora,Todos,140,78,44.285714285714285,39.21041281903687,5.075301466677412,1.585,17.942731500362015,-2.598014842623372,37.52368941074805,0.0435,24,0,,0,,140,17.942731500362015,False,INCONCLUSIVO
D,lay,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,276,51,81.5217391304348,77.71265094635417,3.8090881840806223,4.3,4.918215852929376,-0.8471190690410443,9.702399228868781,0.0445,31,0,,0,,276,4.918215852929376,False,INCONCLUSIVO
D,lay,fav<=1.40,Todos,Todos,Todos,177,18,89.83050847457628,85.57066631805708,4.2598421565192,6.6,5.067241126803937,-0.9638399834815212,10.345325408458256,0.0475,29,0,,0,,177,5.067241126803937,False,INCONCLUSIVO
Under15_HT,back,fav>1.80,Todos,Todos,TOP 3,103,19,81.55339805825243,75.72241250657487,5.830985551677559,1.32,7.729126213592235,-1.8615992040380482,16.519933772538142,0.053,35,0,,0,,103,7.729126213592235,False,INCONCLUSIVO
X2,back,Todos,Todos,fav casa,TOP 3,106,30,71.69811320754718,64.2459811416741,7.452132065873085,1.56,11.732547169811317,-2.6244595125786185,25.06656249999999,0.056,36,0,,0,,106,11.732547169811317,False,INCONCLUSIVO
CS_1x1,lay,fav<=1.40,U25>2.20,Todos,Todos,156,6,96.15384615384616,94.18151306323401,1.972333090612155,15.5,2.091370172663778,-0.4864190851909578,4.549032763773945,0.0565,29,0,,0,,156,2.091370172663778,False,INCONCLUSIVO
Over05_HT,lay,fav>1.80,U25<=1.60,Todos,Todos,245,132,46.12244897959184,42.72087999878528,3.4015689808065575,1.69,8.513077733174287,-1.8816738324402709,20.706661749240123,0.057,33,0,,0,,245,8.513077733174287,False,INCONCLUSIVO
CS_2x3,lay,fav>1.80,U25 1.60-2.20,Todos,Todos,113,1,99.11504424778761,97.42021210626557,1.6948321415220402,38.0,1.736409211145152,-0.7062437326938227,2.66679179845805,0.0595,26,0,,0,,113,1.736409211145152,False,INCONCLUSIVO
Under15_HT,back,fav>1.80,U25 1.60-2.20,Todos,TOP 3,100,20,80.0,74.74238787049369,5.257612129506317,1.35,7.008500000000001,-1.8546872524752445,15.82633899908278,0.0605,35,0,,0,,100,7.008500000000001,False,INCONCLUSIVO
