Data,Home,Away,liga,tipo,odd,p,ev,passa_xgb,gh,ga,fonte
2026-09-05,Spartak Varna,CSKA Sofia,BULGARIA 1,exato,17.5,0.9410765568415324,-0.07821408311526057,0,1,1,betfair:exato
2026-09-05,SG Dynamo Dresden,Bochum,GERMANY 2,fuzzy,18.0,0.9519062836964926,0.08671779235204125,1,1,2,betfair:exato
2026-09-05,St. Truiden,RAAL La Louviere,BELGIUM 1,fuzzy,20.0,0.9492032329241434,-0.06339550316333853,0,4,0,betfair:exato
2026-09-05,Charlotte,Houston Dynamo,USA 1,fuzzy,20.0,0.9428398609161377,-0.190344774723053,0,0,0,betfair:exato
2026-09-06,Mlada Boleslav,Ostrava,CZECH 1,fuzzy,19.5,0.9479469060897827,-0.062432676553726196,0,4,0,betfair:exato
2026-09-06,Cercle Brugge KSV,Gent,BELGIUM 1,fuzzy,18.5,0.9351479411125183,-0.24652048647403724,0,0,3,betfair:exato
2026-09-06,Sonderjyske,Horsens,DENMARK 1,fuzzy,15.0,0.9391319354375204,0.040022434790929706,1,2,5,b365:exato
2026-09-06,Cesena,Mantova,ITALY 2,exato,16.0,0.9455836216608683,0.08205876549084923,1,1,1,betfair:exato
2026-09-06,Hamburger SV,Mainz,GERMANY 1,exato,16.0,0.9561019738515218,0.24982648293177345,1,0,5,betfair:exato
2026-09-06,Kortrijk,Waregem,BELGIUM 1,fuzzy,16.5,0.9287354151407877,-0.22230242093404196,0,0,2,betfair:exato
2026-09-06,St Johnstone,Hibernian,SCOTLAND 1,exato,14.5,0.9156943957010905,-0.2682159821192429,0,2,1,betfair:exato
2026-09-06,Brommapojkarna,Elfsborg,SWEDEN 1,exato,18.0,0.945767362912496,-0.023475835720697447,0,2,1,betfair:exato
2026-09-06,Maastricht,Roda,NETHERLANDS 2,fuzzy,19.0,0.9477791587511698,-0.03958494166533222,0,1,1,betfair:exato
2026-09-06,Arsenal,Chelsea,ENGLAND 1,exato,16.5,0.9458310008049011,0.05891996324062343,1,2,1,betfair:exato
2026-09-06,Hradec Kralove,Sparta Prague,CZECH 1,exato,19.0,0.9549625714619955,0.09654072920481427,1,2,1,betfair:exato
2026-09-06,Malaga,Levante,SPAIN 1,exato,13.0,0.9371299544970194,0.13583291073640136,1,0,0,betfair:exato
2026-09-06,Ruzomberok,Trnava,SLOVAKIA 1,fuzzy,20.0,0.9305692911148071,-0.43514264225959787,0,1,1,betfair:exato
2026-09-06,Kristiansund,Tromso,NORWAY 1,exato,18.0,0.9495910406112671,0.045159178972244196,1,2,0,betfair:exato
2026-09-06,O'Higgins,Union La Calera,CHILE 1,exato,15.0,0.946382741133372,0.1484219799439106,1,2,1,betfair:exato
2026-09-06,Lok. Sofia,Ludogorets,BULGARIA 1,fuzzy,17.0,0.9474949240684509,0.060038962960243136,1,1,2,betfair:exato
2026-09-07,Kalmar,Djurgarden,SWEDEN 1,fuzzy,20.0,0.943841020266215,-0.1703716456890113,0,0,1,b365:exato
2026-09-07,Mjallby,Goteborg,SWEDEN 1,fuzzy,18.5,0.9563983480135599,0.1455495208501809,1,1,4,betfair:exato
2026-09-07,Orebro,Ostersund,SWEDEN 2,fuzzy,14.5,0.934393843015035,0.0019910315672561074,0,0,1,betfair:exato
2026-09-07,Palermo,Sampdoria,ITALY 2,exato,17.0,0.9439635674158732,0.0001824676990502816,0,3,1,betfair:exato
2026-09-07,Estoril,Arouca,PORTUGAL 1,fuzzy,15.0,0.9078503449757894,-0.4276373426119482,0,0,0,betfair:exato
2026-09-07,Elche,Real Sociedad,SPAIN 1,exato,16.5,0.9318467775980631,-0.17112050851186178,0,2,3,betfair:exato
2026-09-08,Lahti,Mariehamn,FINLAND 1,fuzzy,19.0,0.9529515504837036,0.058431881666183405,1,2,1,betfair:exato
2026-09-08,TPS,SJK,FINLAND 1,exato,18.0,0.9408868352572123,-0.11108130713303965,0,0,0,betfair:exato
2026-09-09,Jablonec,Ostrava,CZECH 1,fuzzy,16.0,0.9408402244249979,0.006401579578716898,0,3,0,betfair:exato
2026-09-09,Hradec Kralove,Plzen,CZECH 1,exato,16.5,0.9484524329503378,0.10204252203305608,1,0,0,betfair:exato
2026-09-09,Njardvik,Throttur,ICELAND 2,exato,20.0,0.9472719232241312,-0.10192513167858186,0,0,1,betfair:exato
2026-09-09,Landskrona,Helsingborg,SWEDEN 2,fuzzy,18.0,0.94088747104009,-0.1110698948303851,0,1,2,betfair:exato
2026-09-09,Sandviken,Oddevold,SWEDEN 2,fuzzy,18.0,0.947731633981069,0.011782829960187868,0,0,1,b365:exato
2026-09-09,Toronto FC,Nashville SC,USA 1,exato,19.0,0.9297844171524048,-0.3805852949619294,0,2,1,betfair:exato
2026-09-09,New York City,New England Revolution,USA 1,exato,18.5,0.9467945297559103,-0.03164092600345558,0,1,2,betfair:exato
2026-09-09,Austin FC,Colorado Rapids,USA 1,fuzzy,15.5,0.939712385336558,0.01855635344982076,0,1,1,betfair:exato
2026-09-09,Houston Dynamo,Real Salt Lake,USA 1,exato,18.5,0.959062914053599,0.19471076428890166,1,2,1,betfair:exato
2026-09-10,Ostersund,Brage,SWEDEN 2,fuzzy,15.5,0.9392658074696859,0.011656725406647306,0,1,1,betfair:exato
2026-09-10,Sundsvall,Orebro,SWEDEN 2,exato,16.0,0.9181785583496094,-0.35505199432373047,0,0,3,betfair:exato
2026-09-11,Pribram,Ostrava B,CZECH 2,fuzzy,19.5,0.9493215084075928,-0.035696661472320645,0,1,3,b365:exato
2026-09-11,Hobro,Vejle,DENMARK 2,exato,19.0,0.9106971025466919,-0.7422899067401887,0,0,0,betfair:exato
2026-09-11,Cajamarca,Juan Pablo II,PERU 1,fuzzy,15.5,0.8951868216196696,-0.6693636059761054,0,1,2,betfair:exato
2026-09-11,Cusco,FBC Melgar,PERU 1,fuzzy,17.0,0.921825627485911,-0.3750556141138084,0,0,1,b365:exato
2026-09-12,CSC Dumbravita,CSM Slatina,ROMANIA 2,fuzzy,16.5,0.950266440709432,0.13188294967015635,1,0,2,b365:exato
2026-09-12,Mito,Kawasaki Frontale,JAPAN 1,fuzzy,17.5,0.941309909025828,-0.0741420874993014,0,0,1,b365:exato
2026-09-12,Gamba Osaka,FC Tokyo,JAPAN 1,fuzzy,19.0,0.9715461532274882,0.4107996036609006,1,0,2,b365:exato
2026-09-12,Suzhou Dongwu,Foshan Nanshi,CHINA 2,fuzzy,17.0,0.9418032765388489,-0.036434462666511624,0,3,2,b365:exato
2026-09-12,Leyton Orient,Wycombe,ENGLAND 3,exato,17.0,0.9348128239313761,-0.1549226343631751,0,2,3,betfair:exato
2026-09-12,Racing Santander,Alaves,SPAIN 1,exato,18.5,0.9326181213061014,-0.2931956619024283,0,2,1,betfair:exato
2026-09-12,Bohemians,Slovacko,CZECH 1,fuzzy,15.0,0.9552527268727621,0.281028266747793,1,2,0,betfair:exato
2026-09-12,AIK,Vasteras SK,SWEDEN 1,exato,16.5,0.9446650942166647,0.0397407998641337,1,1,4,betfair:exato
