runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_2x0,lay,Todos,Todos,fav fora,TOP 3,628,32,94.90445859872611,91.0759715643874,3.8284870343387123,9.0,4.456573904118063,2.4520590578469035,6.330170987391895,0.0,228,343,8.981692184098234,189,-2.231006705910752,96,1.4548777089331282,True,PASSA
CS_1x3,lay,fav>1.80,U25<=1.60,fav casa,Todos,303,1,99.66996699669967,97.14106420695427,2.528902789745391,34.0,2.604575540198546,1.8371195530724689,2.9806466750924803,0.0,94,302,2.6046980831542776,1,2.5675675675675675,0,,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,Todos,U25>2.20,fav fora,Todos,1053,39,96.2962962962963,93.1257150858786,3.1705812104177,12.5,3.5195751569193625,1.9609033553133801,4.935150211413411,0.0,178,652,6.533666975653854,221,-3.052185707598506,180,0.670526741605805,True,PASSA
CS_0x2,lay,fav1.40-1.80,U25>2.20,fav casa,Todos,538,10,98.14126394052045,95.20476787559186,2.9364960649285954,19.5,3.0982863886776535,1.8417264620451617,4.165084055064981,0.0,122,506,3.3410577782722064,19,-2.934675566254513,13,2.466282850898236,True,PASSA
CS_2x0,lay,Todos,U25 1.60-2.20,fav fora,TOP 3,562,23,95.90747330960853,90.9872253108749,4.920247998733629,8.4,5.670397126391057,3.698767060167181,7.521548363860243,0.0,212,327,10.058264026281941,152,-1.1652864016385451,83,0.9016190540558852,True,PASSA
CS_3x2,lay,fav<=1.40,Todos,fav fora,TOP 3,101,1,99.00990099009901,93.45391484048207,5.555986149616931,14.0,5.948292828476709,3.6768803896287645,7.174460694587288,0.0,60,101,5.948292828476709,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_3x2,lay,fav<=1.40,Todos,fav fora,Todos,111,1,99.09909909909909,93.47942842344392,5.6196706756551755,14.5,6.0152777061032605,3.8524128971842884,7.132645777128471,0.0,60,111,6.0152777061032605,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,fav>1.80,Todos,Todos,Todos,8752,565,93.54433272394881,90.84412019750151,2.7002125264472987,9.4,3.1231524449497696,2.232408591233027,4.047489998007224,0.0,245,5174,6.334513726793195,1933,-1.3967580638913892,1645,-1.6662677730854423,True,PASSA
CS_3x2,lay,Todos,Todos,fav fora,Todos,2292,55,97.6003490401396,95.93808536799501,1.6622636721445927,25.0,1.7578537785781039,0.999047694599914,2.4508141140728625,0.0,194,1949,2.195558888613438,195,-1.8614803563737272,148,0.7624679465290648,True,PASSA
CS_2x0,lay,fav>1.80,Todos,fav fora,Todos,2938,127,95.67733151803948,91.4578885809152,4.219442937124285,9.2,4.837817088005063,3.589451103861426,6.033220816447252,0.0,226,1802,8.679235141904103,614,-0.9160399624849057,522,-1.6552233413536122,True,PASSA
CS_2x0,lay,fav>1.80,U25<=1.60,fav fora,TOP 3,321,14,95.6386292834891,89.93937654556959,5.6992527379195135,7.4,6.576050959048982,3.7925994988996314,9.047045790938284,0.0,166,217,9.601210434692598,63,-0.8568781499347101,41,1.9861711456662454,True,PASSA
CS_2x0,lay,fav>1.80,U25<=1.60,fav fora,Todos,405,17,95.80246913580247,89.82857549715243,5.973893638650041,7.6,6.905721450215037,4.310538893752624,9.18385562510304,0.0,166,288,10.158591669702998,64,-0.8033711855987367,53,-1.461159578472738,True,PASSA
CS_2x0,lay,fav>1.80,U25<=1.60,Todos,Todos,1457,103,92.93067947838023,89.72928171620038,3.2013977621798473,8.0,3.756362329664028,1.9035243304586034,5.499679535955429,0.0,211,904,7.411298465711353,323,0.2962370754898918,230,-5.749906408981781,True,PASSA
CS_0x3,lay,Todos,Todos,Todos,TOP 3,659,24,96.35811836115326,92.5262622307699,3.83185613038336,12.5,4.261200358973715,2.549009334279684,5.843539684979689,0.0,237,356,8.100027048877182,210,0.223046649675036,93,-1.3152514975091967,True,PASSA
CS_0x3,lay,Todos,Todos,fav casa,Todos,4177,41,99.01843428297822,95.2266058606767,3.791828422301524,23.0,4.046336692049849,3.7361947484036895,4.350653863934465,0.0,127,4158,4.05363226819308,12,2.446869946869947,7,2.4547074547074548,True,PASSA
CS_2x0,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,200,1,99.5,90.37546766224423,9.124532337755763,9.4,10.15916445684113,8.870968645977387,10.952808810041807,0.0,85,190,10.563573192706533,6,2.4797874797874795,4,2.4688149688149688,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,157,0,100.0,90.24031058907637,9.759689410923633,9.2,10.87901257983739,10.396745468719116,11.275020378925356,0.0,85,147,11.450687008710787,6,2.4797874797874795,4,2.4688149688149688,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,Todos,U25 1.60-2.20,fav fora,Todos,2005,79,96.05985037406484,90.96847936381381,5.091371010251022,8.8,5.80629946913472,4.421541601970902,7.127994223307074,0.0,212,1366,9.101573797930925,345,0.30101278361417266,294,-3.0441115058007417,True,PASSA
CS_2x0,lay,fav1.40-1.80,Todos,fav fora,TOP 3,241,3,98.7551867219917,90.68841689883634,8.066769823155372,9.4,9.0072811718346,7.124345864861563,10.399052949457314,0.0,108,221,10.061912625973154,15,-4.34927234927235,5,2.462231462231462,True,INCONCLUSIVO (perdas<5)
