Rank_Custom,Rank,Metodo,Entradas_Executadas,Win_Rate_%,Lucro_Final,Max_DD_Abs,Max_DD_%,Lucro_por_DD,Step_Ups,Saques,Fase2_KPI_Positivo,PnL_Medio_Entrada,Pior_Linha,Melhor_Linha,Score_Lucro,Score_DD,Score_PiorLinha,Score_Total_Custom
1,1,Progressiva_Fixa500,357,97.76,17529.29,747.34,4.26,23.45557577541681,0,0,False,49.10164450244303,-500.0,116.00496277915632,0.0,1.0,1.0,0.65
2,2,Metodo3_B_Defensivo,357,97.76,28250.73,1232.01,4.36,22.93060121265249,4,4,True,79.13368706344814,-1232.0099255583127,262.8910797888773,0.3238516741064012,0.7707332071901609,0.6900025330604553,0.5981785357849039
3,3,Metodo3_Hibrido,357,97.76,30946.53,1518.23,4.91,20.38329502117597,7,6,True,86.68496172334343,-1264.9262456400163,362.699185591376,0.40528097306773814,0.6353405865657522,0.6760628643619514,0.5629641774006872
4,4,Metodo3_C_Agressivo,357,97.76,46933.34,2611.82,5.56,17.969592085212607,11,5,True,131.4659377860638,-1611.8170461389077,613.8838791672845,0.8881783433949475,0.1180321665089877,0.5291587504904506,0.46980864521536625
5,5,Juros_Rampa,357,97.76,50635.31,2861.34,5.65,17.69636254342371,8,3,True,141.8355947960519,-2861.3416354175192,711.5772542306094,1.0,0.0,0.0,0.35
