Date,League,Home,Away,Matched_Names,Odd,Prob_ML,Placar,Status,PnL
2026-07-04,SOUTH KOREA 2,Suwon Bluewings,Seongnam,Suwon Bluewings x Seongnam,1.73,0.5613234293851462,1-0,GREEN,0.73
2026-07-11,SOUTH KOREA 2,Ansan Greeners,Suwon Bluewings,Ansan Greeners x Suwon Bluewings,1.83,0.5577320568076072,2-1,RED,-1.0
2026-07-17,NORWAY 1,Bodo/Glimt,Fredrikstad,FK Bodo - Glimt x Fredrikstad,1.8,0.5840982846729598,1-0,GREEN,0.8
2026-07-22,NORWAY 1,Bodo/Glimt,HamKam,FK Bodo - Glimt x HamKam,1.8,0.5838682420913394,3-0,GREEN,0.8
