fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
0x0 todas,3676,12.5,0.9195,0.9237,-0.0085,-0.1252,0.1217,0.5529,reprova
0x0 odd 6-10,1155,8.4,0.871,0.8862,-0.1237,-0.2654,0.0192,0.95365,reprova
0x0 odd 10-16,1502,12.5,0.9294,0.9237,0.0724,-0.0385,0.1686,0.0935,reprova
0x0 odd 10-99,2566,15.0,0.9431,0.9365,0.045,-0.0966,0.1953,0.26615,reprova
