Politica,Ops,WR_%,Resp_Media,PnL_R$,ROI_%,DD_Max_R$,Linhas_Cap
Base_ARAKD_PROD,527,93.36,334.08,8644.84,4.91,953.02,
Condicional_odd95_e_3entradas_cap300,527,93.36,326.94,8259.78,4.794,953.02,32.0
