fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
0x0 todas,4872,13.5,0.9325,0.9294,0.072,-0.0001,0.1431,0.02535,reprova
0x0 odd 6-10,1051,8.6,0.8934,0.8889,0.0509,-0.0834,0.1656,0.2146,reprova
0x0 odd 10-16,2215,13.0,0.9296,0.9266,0.0429,-0.0396,0.1162,0.1486,reprova
0x0 odd 10-99,3876,15.0,0.9448,0.9365,0.0864,-0.0133,0.1758,0.0422,reprova
