m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj
0.95,0.9,0.95,1.0,0.95,0.1,True,527,37,93.36,7938.93,4.768,1157.86,-705.9,204.85,-746.8729
0.95,0.9,0.95,1.0,1.0,0.0,False,527,0,93.36,7918.1,4.927,859.11,-726.74,-93.91,-707.9565
0.95,0.9,0.95,1.0,1.0,0.0,True,527,37,93.36,7104.03,4.838,955.89,-1540.81,2.87,-1541.3837
0.95,0.9,0.95,1.0,1.0,0.05,False,527,0,93.36,8392.91,4.899,956.58,-251.92,3.56,-252.6341
0.95,0.9,0.95,1.0,1.0,0.05,True,527,37,93.36,7549.55,4.807,1053.36,-1095.28,100.34,-1115.3511
0.95,0.9,0.95,1.0,1.0,0.1,False,527,0,93.36,8867.73,4.875,1058.03,222.89,105.01,201.8926
0.95,0.9,0.95,1.0,1.0,0.1,True,527,37,93.36,7995.08,4.781,1154.81,-649.76,201.79,-690.1142
0.95,0.9,0.95,1.05,0.85,0.0,False,527,0,93.36,7856.82,4.874,883.52,-788.01,-69.49,-774.1144
0.95,0.9,0.95,1.05,0.85,0.0,True,527,37,93.36,7030.38,4.774,982.72,-1614.45,29.71,-1620.3923
0.95,0.9,0.95,1.05,0.85,0.05,False,527,0,93.36,8326.18,4.845,982.32,-318.66,29.31,-324.5199
0.95,0.9,0.95,1.05,0.85,0.05,True,527,37,93.36,7471.02,4.744,1081.52,-1173.82,128.51,-1199.5185
0.95,0.9,0.95,1.05,0.85,0.1,False,527,0,93.36,8795.53,4.82,1086.5,150.7,133.48,123.9987
0.95,0.9,0.95,1.05,0.85,0.1,True,527,37,93.36,7911.65,4.717,1185.7,-733.18,232.68,-779.7205
0.95,0.9,0.95,1.05,0.9,0.0,False,527,0,93.36,7912.27,4.886,882.07,-732.57,-70.95,-718.3792
0.95,0.9,0.95,1.05,0.9,0.0,True,527,37,93.36,7080.29,4.786,981.27,-1564.54,28.25,-1570.192
0.95,0.9,0.95,1.05,0.9,0.05,False,527,0,93.36,8385.04,4.858,979.34,-259.79,26.32,-265.0554
0.95,0.9,0.95,1.05,0.9,0.05,True,527,37,93.36,7524.05,4.756,1078.54,-1120.79,125.52,-1145.8933
0.95,0.9,0.95,1.05,0.9,0.1,False,527,0,93.36,8857.82,4.833,1083.44,212.99,130.43,186.9013
0.95,0.9,0.95,1.05,0.9,0.1,True,527,37,93.36,7967.8,4.73,1182.64,-677.04,229.63,-722.9618
0.95,0.9,0.95,1.05,0.95,0.0,False,527,0,93.36,7967.71,4.899,880.61,-677.12,-72.41,-662.644
0.95,0.9,0.95,1.05,0.95,0.0,True,527,37,93.36,7130.2,4.799,979.81,-1514.63,26.79,-1519.9918
0.95,0.9,0.95,1.05,0.95,0.05,False,527,0,93.36,8443.91,4.871,976.35,-200.92,23.34,-205.5909
0.95,0.9,0.95,1.05,0.95,0.05,True,527,37,93.36,7577.07,4.769,1075.55,-1067.76,122.54,-1092.2682
0.95,0.9,0.95,1.05,0.95,0.1,False,527,0,93.36,8920.11,4.846,1080.38,275.28,127.37,249.8038
0.95,0.9,0.95,1.05,0.95,0.1,True,527,37,93.36,8023.95,4.743,1179.58,-620.89,226.57,-666.203
0.95,0.9,0.95,1.05,1.0,0.0,False,527,0,93.36,8023.15,4.911,879.15,-621.68,-73.86,-606.9088
0.95,0.9,0.95,1.05,1.0,0.0,True,527,37,93.36,7180.11,4.811,978.35,-1464.72,25.34,-1469.7915
0.95,0.9,0.95,1.05,1.0,0.05,False,527,0,93.36,8502.78,4.884,973.37,-142.06,20.35,-146.1264
0.95,0.9,0.95,1.05,1.0,0.05,True,527,37,93.36,7630.1,4.781,1072.57,-1014.73,119.55,-1038.6431
0.95,0.9,0.95,1.05,1.0,0.1,False,527,0,93.36,8982.4,4.859,1077.33,337.57,124.31,312.7064
0.95,0.9,0.95,1.05,1.0,0.1,True,527,37,93.36,8080.09,4.756,1176.52,-564.74,223.51,-609.4443
0.95,0.9,1.0,0.95,0.85,0.0,False,527,0,93.36,7894.5,4.91,882.63,-750.33,-70.39,-736.257
0.95,0.9,1.0,0.95,0.85,0.0,True,527,37,93.36,7119.48,4.844,979.54,-1525.35,26.52,-1530.6565
0.95,0.9,1.0,0.95,0.85,0.05,False,527,0,93.36,8370.56,4.88,984.56,-274.27,31.54,-280.5798
0.95,0.9,1.0,0.95,0.85,0.05,True,527,37,93.36,7566.66,4.81,1081.47,-1078.18,128.45,-1103.8703
0.95,0.9,1.0,0.95,0.85,0.1,False,527,0,93.36,8846.63,4.854,1086.49,201.79,133.48,175.0974
0.95,0.9,1.0,0.95,0.85,0.1,True,527,37,93.36,8013.83,4.781,1183.4,-631.01,230.38,-677.0842
0.95,0.9,1.0,0.95,0.9,0.0,False,527,0,93.36,7949.95,4.923,879.72,-694.89,-73.3,-680.2305
0.95,0.9,1.0,0.95,0.9,0.0,True,527,37,93.36,7169.39,4.856,976.62,-1475.44,23.61,-1480.1649
0.95,0.9,1.0,0.95,0.9,0.05,False,527,0,93.36,8429.43,4.893,981.57,-215.4,28.56,-221.1153
0.95,0.9,1.0,0.95,0.9,0.05,True,527,37,93.36,7619.68,4.823,1078.48,-1025.15,125.47,-1050.2452
0.95,0.9,1.0,0.95,0.9,0.1,False,527,0,93.36,8908.92,4.867,1083.43,264.08,130.42,237.9999
0.95,0.9,1.0,0.95,0.9,0.1,True,527,37,93.36,8069.97,4.794,1180.34,-574.86,227.32,-620.3254
0.95,0.9,1.0,0.95,0.95,0.0,False,527,0,93.36,8005.39,4.935,876.8,-639.45,-76.21,-624.2041
0.95,0.9,1.0,0.95,0.95,0.0,True,527,37,93.36,7219.3,4.868,973.71,-1425.53,20.69,-1429.6734
0.95,0.9,1.0,0.95,0.95,0.05,False,527,0,93.36,8488.3,4.906,978.59,-156.54,25.57,-161.6508
0.95,0.9,1.0,0.95,0.95,0.05,True,527,37,93.36,7672.71,4.835,1075.5,-972.12,122.48,-996.6201
0.95,0.9,1.0,0.95,0.95,0.1,False,527,0,93.36,8971.21,4.88,1080.38,326.37,127.36,300.9025
0.95,0.9,1.0,0.95,0.95,0.1,True,527,37,93.36,8126.12,4.806,1177.28,-518.71,224.27,-563.5667
0.95,0.9,1.0,0.95,1.0,0.0,False,527,0,93.36,8060.83,4.947,873.89,-584.0,-79.12,-568.1776
0.95,0.9,1.0,0.95,1.0,0.0,True,527,37,93.36,7269.21,4.88,970.8,-1375.63,17.78,-1379.1819
0.95,0.9,1.0,0.95,1.0,0.05,False,527,0,93.36,8547.17,4.918,975.6,-97.67,22.59,-102.1863
0.95,0.9,1.0,0.95,1.0,0.05,True,527,37,93.36,7725.74,4.848,1072.51,-919.1,119.5,-942.9949
0.95,0.9,1.0,0.95,1.0,0.1,False,527,0,93.36,9033.5,4.893,1077.32,388.67,124.3,363.805
0.95,0.9,1.0,0.95,1.0,0.1,True,527,37,93.36,8182.27,4.819,1174.22,-462.57,221.21,-506.808
0.95,0.9,1.0,1.0,0.85,0.0,False,527,0,93.36,7999.56,4.894,896.91,-645.28,-56.11,-634.0554
0.95,0.9,1.0,1.0,0.85,0.0,True,527,37,93.36,7195.57,4.817,996.23,-1449.27,43.22,-1457.9103
0.95,0.9,1.0,1.0,0.85,0.05,False,527,0,93.36,8480.43,4.865,1001.35,-164.41,48.33,-174.0721
0.95,0.9,1.0,1.0,0.85,0.05,True,527,37,93.36,7647.21,4.784,1100.68,-997.63,147.66,-1027.1623
0.95,0.9,1.0,1.0,0.85,0.1,False,527,0,93.36,8961.3,4.839,1105.79,316.47,152.78,285.9112
0.95,0.9,1.0,1.0,0.85,0.1,True,527,37,93.36,8098.84,4.756,1205.12,-545.99,252.1,-596.4143
0.95,0.9,1.0,1.0,0.9,0.0,False,527,0,93.36,8055.0,4.907,893.99,-589.83,-59.02,-578.0289
0.95,0.9,1.0,1.0,0.9,0.0,True,527,37,93.36,7245.48,4.829,993.32,-1399.36,40.31,-1407.4188
0.95,0.9,1.0,1.0,0.9,0.05,False,527,0,93.36,8539.3,4.878,998.36,-105.54,45.35,-114.6076
0.95,0.9,1.0,1.0,0.9,0.05,True,527,37,93.36,7700.23,4.797,1097.69,-944.6,144.67,-973.5372
0.95,0.9,1.0,1.0,0.9,0.1,False,527,0,93.36,9023.59,4.852,1102.73,378.76,149.72,348.8137
0.95,0.9,1.0,1.0,0.9,0.1,True,527,37,93.36,8154.99,4.769,1202.06,-489.85,249.04,-539.6556
0.95,0.9,1.0,1.0,0.95,0.0,False,527,0,93.36,8110.45,4.919,891.08,-534.39,-61.93,-522.0025
0.95,0.9,1.0,1.0,0.95,0.0,True,527,37,93.36,7295.39,4.841,990.41,-1349.45,37.39,-1356.9273
0.95,0.9,1.0,1.0,0.95,0.05,False,527,0,93.36,8598.16,4.89,995.38,-46.67,42.36,-55.1431
