data,jogo,liga,metodo,fav_odd,odd_lay01,stake,primeiro_visto,status,resultado,pnl,conferir_web
2026-08-29,FC Midland x Nueva Chicago,ARGENTINA 2,Lay 0x1,1.78,15.0,0,2026-08-29,Finalizado,GREEN,0.955,Placar 1x0
2026-08-29,Figueirense x Maranhao,BRAZIL 3,Lay 0x1,1.86,15.0,0,2026-08-29,Finalizado,GREEN,0.955,Placar 1x0
2026-08-30,America MG x Ponte Preta,BRAZIL 2,Lay 1x0,1.1,11.0,0,2026-08-29,Pendente,Pendente,0.0,
2026-08-30,Deportivo Moron x CA San Miguel,ARGENTINA 2,Lay 0x1,1.83,14.0,0,2026-08-30,Pendente,Pendente,0.0,
2026-08-31,Instituto x San Lorenzo,ARGENTINA 1,Lay 0x1,1.88,13.0,0,2026-08-30,Pendente,Pendente,0.0,
2026-08-31,Tigre x Barracas Central,ARGENTINA 1,Lay 0x1,1.85,15.0,0,2026-08-30,Pendente,Pendente,0.0,
2026-08-31,Racing Club (Uru) x Albion FC,URUGUAY 1,Lay 0x1,1.89,15.0,0,2026-08-31,Pendente,Pendente,0.0,
2026-08-31,Gimnasia Jujuy x Agropecuario,ARGENTINA 2,Lay 0x1,1.89,14.5,0,2026-08-31,Pendente,Pendente,0.0,
