Date,League,Home,Away,Odd_CS_0x1_Lay,Prob_ML,EV_LAY,Decision,Reason,Timestamp
2026-08-09 00:00:00,CHILE 1,Union La Calera,Colo Colo,9.2,0.9064826615088434,0.09431635280591688,APOSTA,APROVADO,2026-08-20T21:56:43.721303
2026-08-10 00:00:00,ARGENTINA 1,Banfield,Belgrano,7.8,0.9642277710897613,0.6727652259456501,APOSTA,APROVADO,2026-08-20T21:57:08.726714
2026-08-11 00:00:00,EUROPA CONFERENCE LEAGUE,CSKA 1948 Sofia,Panathinaikos,7.8,0.9008422124426643,0.18152714643064805,APOSTA,APROVADO,2026-08-20T21:57:26.443310
2026-08-12 00:00:00,SOUTH AFRICA 1,Durban City,Golden Arrows,7.4,0.8817903771688957,0.08115927219138364,APOSTA,APROVADO,2026-08-20T21:57:41.796921
2026-08-13 00:00:00,COPA LIBERTADORES,Rosario Central,Corinthians,9.0,0.9310110647885933,0.33254902985791,APOSTA,APROVADO,2026-08-20T21:57:58.660044
2026-08-14 00:00:00,FRANCE 2,Laval,Nantes,8.6,0.9057832462806863,0.14444675569986787,APOSTA,APROVADO,2026-08-20T21:58:15.745169
2026-08-14 00:00:00,ARGENTINA 2,Atletico Rafaela,Defensores de Belgrano,9.2,0.9168841986606605,0.18949041774504372,APOSTA,APROVADO,2026-08-20T21:58:17.365225
2026-08-15 00:00:00,SOUTH KOREA 2,Gimhae City,Gyeongnam,9.2,0.9056116297916329,0.086346412593441,APOSTA,APROVADO,2026-08-20T21:58:32.401909
2026-08-15 00:00:00,SOUTH AFRICA 1,Kaizer Chiefs,Mamelodi Sundowns,7.0,0.8777882172580049,0.1006281099431342,APOSTA,APROVADO,2026-08-20T21:58:34.132154
2026-08-15 00:00:00,ENGLAND 3,Burton Albion,Stevenage,9.2,0.9054714255537872,0.0850635438171532,APOSTA,APROVADO,2026-08-20T21:58:35.907234
2026-08-15 00:00:00,SOUTH AFRICA 1,Sekhukhune United,Polokwane City,9.2,0.9038770699835551,0.0704751903495292,APOSTA,APROVADO,2026-08-20T21:58:37.924023
2026-08-15 00:00:00,ARGENTINA 1,Aldosivi,Tigre,6.6,0.8733472031744582,0.12042418079270145,APOSTA,APROVADO,2026-08-20T21:58:39.347364
2026-08-15 00:00:00,ARGENTINA 1,San Lorenzo,Union Santa Fe,8.8,0.9476321886914123,0.49178165104985755,APOSTA,APROVADO,2026-08-20T21:58:39.559218
2026-08-15 00:00:00,TURKEY 1,Genclerbirligi,Fenerbahce,8.8,0.9050082518052601,0.11882220329602589,APOSTA,APROVADO,2026-08-20T21:58:40.775548
2026-08-16 00:00:00,BRAZIL 1,Chapecoense,Bahia,9.4,0.9054102997054061,0.06558630224554696,APOSTA,APROVADO,2026-08-20T21:59:00.763694
2026-08-16 00:00:00,BOSNIA 1,Sloga Doboj,Borac Banja Luka,8.0,0.9052480960806552,0.19672236384120845,APOSTA,APROVADO,2026-08-20T21:59:06.603735
2026-08-16 00:00:00,ARGENTINA 2,Tristan Suarez,Almirante Brown,9.2,0.9311537786665536,0.3200570747989653,APOSTA,APROVADO,2026-08-20T21:59:07.324394
2026-08-16 00:00:00,BOSNIA 1,Radnik Bijeljina,Zrinjski,7.4,0.8908176376330191,0.14750963660269056,APOSTA,APROVADO,2026-08-20T21:59:08.207311
2026-08-16 00:00:00,SERBIA 1,Zemun,Mladost Lucani,9.4,0.910359352260012,0.11185994363111185,APOSTA,APROVADO,2026-08-20T21:59:08.925451
2026-08-16 00:00:00,BRAZIL 1,Mirassol,Flamengo,8.8,0.9020877773923426,0.0932680521829975,APOSTA,APROVADO,2026-08-20T21:59:09.657141
2026-08-16 00:00:00,BRAZIL 3,Confianca,Maringa,8.8,0.9010025737818372,0.08377252059107576,APOSTA,APROVADO,2026-08-20T21:59:10.239159
2026-08-16 00:00:00,ARGENTINA 1,Barracas Central,Rosario Central,8.2,0.9010636996302184,0.14366915198627972,APOSTA,APROVADO,2026-08-20T21:59:11.389997
2026-08-16 00:00:00,ARGENTINA 1,Central Cordoba (SdE),Instituto,7.0,0.9255797581984864,0.43277931947948023,APOSTA,APROVADO,2026-08-20T21:59:11.679666
2026-08-17 00:00:00,ARGENTINA 2,All Boys,Nueva Chicago,9.0,0.9338809069596431,0.3582341172888057,APOSTA,APROVADO,2026-08-20T21:59:40.321924
2026-08-17 00:00:00,PORTUGAL 1,Casa Pia,Benfica,9.4,0.9173887875867592,0.17758516393619883,APOSTA,APROVADO,2026-08-20T21:59:42.437160
2026-08-01 00:00:00,ARGENTINA 1,Estudiantes Rio Cuarto,Banfield,8.4,0.9054242430085881,0.16029242912171104,APOSTA,APROVADO,2026-08-20T21:59:55.482117
2026-08-01 00:00:00,ARGENTINA 1,Gimnasia Mendoza,Union Santa Fe,8.4,0.9198227381781721,0.28051986378773663,APOSTA,APROVADO,2026-08-20T21:59:55.682989
2026-08-18 00:00:00,ARGENTINA CUP,Deportivo Riestra,Gimnasia La Plata,6.4,0.897037629402354,0.29618894670494766,APOSTA,APROVADO,2026-08-20T22:00:07.385711
2026-08-18 00:00:00,COPA LIBERTADORES,Independiente Rivadavia,Fluminense,9.2,0.9033869915402283,0.06599097259308873,APOSTA,APROVADO,2026-08-20T22:00:07.719615
2026-08-02 00:00:00,ARGENTINA 1,Aldosivi,Gimnasia La Plata,6.8,0.8854772013070601,0.17697110882265554,APOSTA,APROVADO,2026-08-20T22:00:27.433822
2026-08-02 00:00:00,ARGENTINA 1,Deportivo Riestra,Barracas Central,9.0,0.9149316304096988,0.1886380921668045,APOSTA,APROVADO,2026-08-20T22:00:27.734928
2026-08-02 00:00:00,ARGENTINA 2,Ciudad de Bolivar,Club Atletico Mitre,9.2,0.9116101918159363,0.14123325511581697,APOSTA,APROVADO,2026-08-20T22:00:28.097598
2026-08-02 00:00:00,SERBIA 1,Zemun,Radnicki Nis,8.8,0.8993434864884952,0.06925550677433256,APOSTA,APROVADO,2026-08-20T22:00:28.748614
2026-08-02 00:00:00,ARGENTINA 2,Chaco For Ever,Deportivo Moron,8.8,0.9004286900990005,0.0787510383662543,APOSTA,APROVADO,2026-08-20T22:00:29.401756
2026-08-19 00:00:00,ARGENTINA CUP,Racing Club,Belgrano,8.8,0.9559226403780905,0.5643231033082918,APOSTA,APROVADO,2026-08-20T22:00:30.952004
2026-08-19 00:00:00,BRAZIL 2,Botafogo SP,Criciuma,9.4,0.9038741934981693,0.051223709207883106,APOSTA,APROVADO,2026-08-20T22:00:32.580901
