Date,League,Home,Away,Matched_Names,Odd,Prob_ML,Placar,Status,PnL
2026-07-05,SWEDEN 1,Elfsborg,Hammarby,Elfsborg x Hammarby,1.3,0.6069696610396,"0-0 (HT: 0-0, FT: 1-2)",RED,-1.0
2026-07-20,SWEDEN 1,Kalmar,Malmo FF,Kalmar x Malmö FF,1.3,0.6255195569302574,"2-1 (HT: 2-1, FT: 2-2)",GREEN,0.3
2026-07-26,SWEDEN 1,GAIS,Halmstad,GAIS x Halmstad,1.3,0.6143712733533117,"0-0 (HT: 0-0, FT: 1-1)",RED,-1.0
