Date,Horario,Liga,Home,Away,Odd_Lay,Prob,Metodo,Placar_Final,Status,PnL
2026-07-01,17:00:00,WORLD WORLD CUP,Belgium,Senegal,15.0,94.5,RF+Trader,3-2,ENCERRADO,0.94
2026-07-01,23:00:00,USA 1,Spokane Velocity FC,Forward Madison FC,16.0,94.1,RF,,PENDENTE,
2026-07-01,13:00:00,WORLD WORLD CUP,England,DR Congo,38.0,97.3,RF,2-1,ENCERRADO,0.94
2026-07-01,18:30:00,USA 1,Charlotte Independence,Corpus Christi,50.0,95.3,RF,,PENDENTE,
2026-07-01,19:00:00,ECUADOR 1,LDU,Orense Sporting Club,28.0,97.2,RF,,PENDENTE,
2026-07-01,20:00:00,USA 1,Chattanooga Red Wolves SC,Westchester SC,25.0,95.3,RF,,PENDENTE,
2026-07-01,21:00:00,WORLD WORLD CUP,USA,Bosnia,30.0,95.9,RF,,PENDENTE,
2026-07-01,23:30:00,USA 1,Union Omaha,AV Alta FC,32.0,94.5,RF,,PENDENTE,
2026-07-02,13:00:00,NORWAY 2,Lyn,Asane,22.0,94.1,RF+Trader,6-2,ENCERRADO,0.94
2026-07-02,16:00:00,WORLD WORLD CUP,Spain,Austria,36.0,96.4,RF+Trader,3-0,ENCERRADO,0.94
2026-07-02,20:00:00,BRAZIL 2,Cuiaba,America MG,13.5,94.5,RF+Trader,1-0,ENCERRADO,0.94
2026-07-02,20:00:00,WORLD WORLD CUP,Portugal,Croatia,22.0,96.9,RF+Trader,2-1,ENCERRADO,0.94
2026-07-02,21:00:00,USA 1,Birmingham Legion FC,Detroit City FC,12.0,89.5,RF,,PENDENTE,
2026-07-02,13:00:00,ESTONIA 1,Kuressaare,Tallinna FC Flora,12.5,89.7,RF,,PENDENTE,
2026-07-02,14:00:00,ICELAND 1,Thor,KR Reykjavik,42.0,89.7,RF,,PENDENTE,
2026-07-02,21:00:00,BRAZIL 2,Fortaleza EC,Ponte Preta,38.0,97.5,RF,,PENDENTE,
2026-07-02,22:30:00,USA 1,Boise Cutthroats FC,One Knoxville SC,26.0,93.0,RF,,PENDENTE,
2026-07-03,00:00:00,WORLD WORLD CUP,Switzerland,Algeria,14.0,93.8,RF+Trader,2-0,ENCERRADO,0.94
2026-07-03,09:00:00,CHINA 1,Yunnan Yukun,Henan Songshan Longmen,21.0,91.6,RF+Trader,2-1,ENCERRADO,0.94
2026-07-03,13:00:00,NORWAY 2,Kongsvinger,Sogndal,55.0,96.2,RF+Trader,5-1,ENCERRADO,0.94
2026-07-03,13:00:00,NORWAY 2,Raufoss,Strommen,15.0,91.6,RF+Trader,1-0,ENCERRADO,0.94
2026-07-03,14:00:00,SWEDEN 1,Sirius,Mjallby,26.0,94.4,RF+Trader,4-4,ENCERRADO,0.94
2026-07-03,15:00:00,WORLD WORLD CUP,Australia,Egypt,7.4,88.9,RF+Trader,1-1,ENCERRADO,0.94
2026-07-03,15:45:00,IRELAND 2,Cobh Ramblers,Cork City,9.2,89.9,RF+Trader,0-1,ENCERRADO,-8.2
2026-07-03,15:45:00,IRELAND 1,Derry City,Waterford,28.0,96.4,RF+Trader,2-4,ENCERRADO,0.94
2026-07-03,15:45:00,IRELAND 1,Drogheda,Bohemians,9.0,92.7,RF+Trader,0-2,ENCERRADO,0.94
2026-07-03,15:45:00,IRELAND 1,Shelbourne,Dundalk,17.0,94.0,RF+Trader,2-1,ENCERRADO,0.94
2026-07-03,15:45:00,IRELAND 1,Sligo Rovers,Shamrock Rovers,8.6,90.2,RF+Trader,1-2,ENCERRADO,0.94
2026-07-03,16:15:00,ICELAND 1,Hafnarfjordur,Stjarnan,23.0,92.5,RF+Trader,2-2,ENCERRADO,0.94
2026-07-03,19:00:00,WORLD WORLD CUP,Argentina,Cape Verde,60.0,97.7,RF+Trader,3-2,ENCERRADO,0.94
2026-07-03,22:30:00,WORLD WORLD CUP,Colombia,Ghana,23.0,96.0,RF+Trader,1-0,ENCERRADO,0.94
2026-07-03,15:45:00,IRELAND 1,St Patricks,Galway Utd,32.0,95.8,RF,,PENDENTE,
2026-07-03,20:00:00,USA 1,Loudoun United FC,Sporting Club Jacksonville,30.0,94.5,RF,,PENDENTE,
2026-07-03,15:45:00,IRELAND 2,Treaty United,Kerry FC,19.0,89.6,RF,,PENDENTE,
2026-07-03,15:45:00,IRELAND 2,Bray Wanderers,Athlone Town,27.0,94.3,RF,,PENDENTE,
2026-07-03,14:00:00,NORWAY 2,Ranheim IL,Stabaek,25.0,90.4,RF,,PENDENTE,
2026-07-03,13:00:00,ESTONIA 1,Nomme Utd,Nomme Kalju,21.0,87.2,RF,,PENDENTE,
2026-07-03,21:00:00,ECUADOR 1,Independiente (Ecu),Manta FC,55.0,98.5,RF,,PENDENTE,
2026-07-03,15:45:00,IRELAND 2,Finn Harps,Wexford F.C,10.5,88.2,RF,,PENDENTE,
2026-07-04,08:35:00,CHINA 1,Beijing Guoan,Shandong Taishan,30.0,95.6,RF+Trader,2-0,ENCERRADO,0.94
2026-07-04,08:35:00,CHINA 1,Dalian Yingbo,Wuhan Three Towns,27.0,95.4,RF+Trader,3-2,ENCERRADO,0.94
2026-07-04,09:00:00,FINLAND 1,Lahti,Gnistan,14.5,93.1,RF+Trader,1-0,ENCERRADO,0.94
2026-07-04,09:00:00,NORWAY 2,Egersund,Moss,23.0,93.8,RF+Trader,3-0,ENCERRADO,0.94
2026-07-04,10:00:00,SWEDEN 1,Degerfors,Malmo FF,11.0,91.8,RF+Trader,0-1,ENCERRADO,-10.0
2026-07-04,11:00:00,FINLAND 1,Jaro,Ilves,13.5,91.3,RF+Trader,2-1,ENCERRADO,0.94
2026-07-04,11:00:00,FINLAND 1,SJK,TPS,21.0,94.9,RF+Trader,3-1,ENCERRADO,0.94
2026-07-04,11:00:00,NORWAY 2,Hodd,Stromsgodset,18.0,93.4,RF+Trader,4-3,ENCERRADO,0.94
2026-07-04,14:00:00,WORLD WORLD CUP,Canada,Morocco,7.0,94.6,RF+Trader,0-3,ENCERRADO,0.94
2026-07-04,16:00:00,BRAZIL 2,Criciuma,Sport Recife,13.0,94.4,RF+Trader,1-0,ENCERRADO,0.94
2026-07-04,16:00:00,BRAZIL 2,Londrina,CRB,10.5,90.7,RF+Trader,5-0,ENCERRADO,0.94
2026-07-04,16:00:00,BRAZIL 2,Novorizontino,Atletico GO,15.5,94.3,RF+Trader,3-0,ENCERRADO,0.94
2026-07-04,18:00:00,WORLD WORLD CUP,Paraguay,France,7.6,95.3,RF+Trader,0-1,ENCERRADO,-6.6
2026-07-04,20:30:00,BRAZIL 3,Guarani,Floresta EC,26.0,95.7,RF+Trader,0-0,ENCERRADO,0.94
2026-07-04,17:00:00,USA 1,Indy Eleven,Charleston Battery,13.0,90.1,RF,,PENDENTE,
