,total_jogos,greens,reds,win_rate_pct,odd_media,lucro_total_rs,total_investido_rs,roi_pct,max_drawdown_rs,profit_factor
1. Lay Home Teórico (Odd Back / Sem Spread),4433,3334,1099,75.2086623054365,3.399515001127904,28730.173333821836,443300.0,6.480977517216746,-1103.8959232206953,1.2614210494433287
2. Lay Home REALISTA (Com Spread Betfair),4433,3334,1099,75.2086623054365,3.399515001127904,18994.198971646758,443300.0,4.284727943073936,-1564.8288966137,1.1728316557929641
3. Lay Home REALISTA (Teto Odd Lay <= 4.00),3460,2536,924,73.29479768786126,3.1208265895953757,15303.04036806302,346000.0,4.422844037012434,-1529.695347036094,1.1656173200006819
4. Lay Home Geral (Stake R$100 em X2),4433,3334,1099,75.2086623054365,3.399515001127904,-11460.050000000007,443300.0,-2.5851680577487044,-11792.399999999963,0.8957229299363058
5. REFERÊNCIA: EH +3 Zebra (Stake R$100),4433,3334,1099,75.2086623054365,3.399515001127904,8865.000000000015,443300.0,1.9997744191292612,-594.0,1.4925000000000008
