fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
0x1 todas,3371,11.5,0.9175,0.917,0.0792,-0.0099,0.1787,0.04385,reprova
0x1 odd 6.0-9.5,1092,8.0,0.869,0.8805,-0.0729,-0.2423,0.0679,0.83395,reprova
0x1 odd 6.6-13.2,2103,9.6,0.8949,0.9005,-0.0261,-0.1208,0.0614,0.72385,reprova
0x1 odd 9.5-13.2,1070,11.5,0.9159,0.917,0.0074,-0.1301,0.1529,0.468,reprova
0x1 odd 13.2-18.0,563,15.0,0.952,0.9365,0.2286,0.0297,0.4656,0.0085,reprova
