fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
2x0 todas,7483,8.6,0.9375,0.8889,0.3234,0.1107,0.4208,0.00735,reprova
2x0 odd 6-9.5,4890,8.0,0.9339,0.8805,0.4227,0.3241,0.4604,0.00035,PASSA
2x0 odd 9.5-13.2,1535,10.5,0.944,0.9091,0.3477,0.1664,0.4782,0.00075,PASSA
2x0 odd 13.2-18,474,15.0,0.9241,0.9365,-0.2065,-0.4963,0.1449,0.8752,reprova
