Data,odd_lay,liga_0x0_rate,mkt_prob_0x0,Resultado,mes,res,pnl
2026-08-03,12.0,0.03,0.0833,GREEN,2026-08,1,0.95
2026-08-03,16.0,0.04,0.0625,GREEN,2026-08,1,0.95
