fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
0x1 todas,3242,12.5,0.9186,0.9237,0.0084,-0.1205,0.134,0.45855,reprova
0x1 odd 6-9.5,725,7.8,0.8469,0.8774,-0.2255,-0.514,-0.0076,0.9799,reprova
0x1 odd 9.5-13.2,1081,11.5,0.9204,0.917,0.0369,-0.168,0.218,0.3379,reprova
0x1 odd 13.2-18,676,15.5,0.9305,0.9385,-0.1197,-0.4469,0.2028,0.7773,reprova
