fatia,n,odd,wr,be,roi,ic_lo,ic_hi,p,fdr
0x0 todas,4195,11.0,0.9061,0.9132,-0.1015,-0.1903,-0.0093,0.98325,reprova
0x0 odd 6-10,1552,8.6,0.8763,0.8889,-0.0722,-0.2196,0.0657,0.8437,reprova
0x0 odd 10-16,1968,12.0,0.9172,0.9205,-0.0634,-0.2113,0.0889,0.8019,reprova
0x0 odd 10-99,2706,13.0,0.9265,0.9266,-0.1025,-0.234,0.0205,0.94945,reprova
