mercado,lado,modelo,filtro,spread%,liquido,val_n,val_wr%,odd_real,val_roi%,val_ic95,val_p,passa_FDR,conf_n,conf_roi%,robusto_entre_modelos,APROVADO,motivo_reprovacao
CS_0x0,back,poisson_rf,EV>0.05,30.2%,Nao,318,6.6%,13.16,-12.42%,"[-45.4%, 24.4%]",0.752,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,lay,poisson_lasso,EV>0.05,6.4%,Sim,2362,67.3%,3.67,-12.76%,"[-19.5%, -5.9%]",1.0,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,lay,poisson_et,EV>0.05,30.2%,Nao,2048,87.0%,9.07,-12.78%,"[-25.3%, -0.5%]",0.9795,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,poisson_dt,EV>0.05,6.4%,Sim,1564,56.9%,3.64,-13.30%,"[-21.9%, -4.8%]",0.999,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_D,back,poisson_et,EV>0.05,6.4%,Sim,690,12.6%,7.77,-13.46%,"[-31.1%, 5.0%]",0.9235,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,nb,EV>0.05,30.2%,Nao,11471,9.5%,9.7,-14.10%,"[-19.2%, -9.1%]",1.0,False,422,-11.56%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,lightgbm,EV>0.05,30.2%,Nao,565,8.8%,10.8,-14.19%,"[-37.6%, 10.1%]",0.891,False,21,16.67%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_D,lay,et,EV>0.05,6.4%,Sim,644,62.4%,2.98,-14.39%,"[-25.3%, -3.0%]",0.9955,False,51,27.37%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x0,lay,dt,EV>0.05,30.2%,Nao,2099,92.9%,17.47,-14.97%,"[-32.5%, 3.9%]",0.9415,False,91,46.21%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_0x0,back,et,EV>0.05,30.2%,Nao,850,6.0%,14.26,-15.21%,"[-36.5%, 7.6%]",0.9115,False,28,-51.79%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,nb,EV>0.05,30.2%,Nao,3399,94.1%,19.35,-15.36%,"[-31.3%, -1.1%]",0.979,False,125,-49.48%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x0,lay,et,EV>0.05,21.9%,Nao,1735,83.3%,6.77,-15.53%,"[-27.5%, -4.2%]",0.9955,False,144,-23.09%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,lay,poisson_en,EV>0.05,6.8%,Sim,364,56.3%,2.73,-15.73%,"[-29.3%, -1.9%]",0.988,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,lay,poisson_lasso,EV>0.05,6.8%,Sim,237,55.3%,2.76,-15.86%,"[-33.0%, 0.1%]",0.9735,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,lay,xgboost,EV>0.05,21.9%,Nao,2279,89.3%,11.71,-16.48%,"[-31.7%, -2.3%]",0.989,False,76,-108.88%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,back,poisson_lasso,EV>0.05,6.4%,Sim,872,14.7%,6.05,-16.49%,"[-29.6%, -2.6%]",0.993,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x1,back,nb,EV>0.05,27.8%,Nao,12131,9.3%,9.45,-16.64%,"[-21.2%, -11.8%]",1.0,False,474,-15.65%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,lay,lda,EV>0.05,4.8%,Sim,110,28.2%,1.68,-18.55%,"[-34.4%, -4.3%]",0.996,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_D,back,poisson_xgboost,EV>0.05,6.4%,Sim,537,12.3%,7.31,-18.61%,"[-37.9%, 0.3%]",0.9735,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,back,poisson_en,EV>0.05,6.4%,Sim,629,14.1%,6.35,-18.91%,"[-35.4%, -2.8%]",0.9865,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,poisson_lr,EV>0.05,4.8%,Sim,79,31.6%,2.74,-19.56%,"[-46.7%, 9.7%]",0.9185,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_D,lay,lda,EV>0.05,6.4%,Sim,783,70.0%,3.95,-19.62%,"[-31.8%, -8.0%]",0.9995,False,16,11.56%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,back,poisson_ridge,EV>0.05,4.8%,Sim,75,33.3%,2.55,-20.41%,"[-46.7%, 6.8%]",0.9275,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,lay,lr,EV>0.05,27.8%,Nao,573,92.5%,16.79,-24.05%,"[-62.3%, 8.7%]",0.916,False,45,-36.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,lay,poisson_huber,EV>0.05,6.4%,Sim,202,66.8%,5.83,-26.12%,"[-60.6%, 1.7%]",0.9655,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,back,poisson_lightgbm,EV>0.05,30.2%,Nao,127,4.7%,13.83,-34.65%,"[-79.1%, 20.9%]",0.904,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_1x0,lay,lda,EV>0.05,21.9%,Nao,307,88.6%,11.24,-34.89%,"[-77.7%, 3.7%]",0.956,False,9,-158.33%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,poisson_lr,EV>0.05,30.2%,Nao,177,89.8%,15.52,-36.30%,"[-104.2%, 20.5%]",0.8675,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,poisson_ridge,EV>0.05,30.2%,Nao,177,89.8%,15.28,-40.25%,"[-107.7%, 21.0%]",0.8915,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,lay,poisson_huber,EV>0.05,30.2%,Nao,13,76.9%,11.25,-96.92%,"[-100.0%, +100.0%]",1.0,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
