mercado,lado,modelo,filtro,spread%,liquido,val_n,val_wr%,odd_real,val_roi%,val_ic95,val_p,passa_FDR,conf_n,conf_roi%,robusto_entre_modelos,APROVADO,motivo_reprovacao
1X2_D,back,lr,EV>0.05,6.4%,Sim,2084,28.0%,3.82,3.92%,"[-3.5%, 11.5%]",0.153,False,44,-21.80%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,lr,EV>0.05,6.4%,Sim,1620,80.2%,7.62,3.90%,"[-7.8%, 14.8%]",0.265,False,39,-45.77%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,lay,poisson_dt,EV>0.05,30.2%,Nao,2861,91.9%,13.52,3.64%,"[-8.9%, 15.6%]",0.275,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,back,lightgbm,EV>0.05,6.8%,Sim,1477,44.1%,2.42,3.43%,"[-2.3%, 9.4%]",0.1315,False,78,-9.14%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,poisson_lasso,EV>0.05,6.8%,Sim,330,47.3%,2.25,3.25%,"[-8.2%, 15.4%]",0.2935,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x1,lay,xgboost,EV>0.05,19.3%,Nao,1869,89.8%,9.82,2.82%,"[-10.1%, 15.7%]",0.3355,False,61,15.49%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_0x0,back,poisson_xgboost,EV>0.05,30.2%,Nao,626,10.1%,11.11,2.32%,"[-20.6%, 27.0%]",0.4275,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,poisson_rf,EV>0.05,4.8%,Sim,1854,40.9%,2.68,2.23%,"[-3.6%, 8.1%]",0.2115,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,lr,EV>0.05,6.8%,Sim,763,47.8%,2.23,2.11%,"[-5.7%, 10.3%]",0.303,False,45,-8.38%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x0,lay,poisson_rf,EV>0.05,30.2%,Nao,1432,89.8%,11.37,1.90%,"[-14.6%, 16.1%]",0.4185,False,0,0.00%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,back,lda,EV>0.05,6.8%,Sim,744,47.3%,2.24,1.85%,"[-6.5%, 10.0%]",0.334,False,42,-9.43%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,xgboost,EV>0.05,6.8%,Sim,2727,52.3%,2.04,1.72%,"[-2.0%, 5.4%]",0.172,False,76,-2.74%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,poisson_dt,EV>0.05,6.8%,Sim,875,46.1%,2.3,1.01%,"[-5.9%, 8.6%]",0.388,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
O25,back,xgboost,EV>0.05,4.8%,Sim,2660,48.8%,2.22,0.94%,"[-3.2%, 5.2%]",0.345,False,47,26.83%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_A,back,dt,EV>0.05,6.4%,Sim,4083,33.6%,3.8,0.87%,"[-4.1%, 6.0%]",0.362,False,176,-3.73%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,lay,xgboost,EV>0.05,27.8%,Nao,2198,92.7%,14.28,0.78%,"[-14.4%, 15.6%]",0.451,False,77,-13.83%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,lightgbm,EV>0.05,6.4%,Sim,1050,49.4%,3.36,0.72%,"[-7.8%, 9.3%]",0.429,False,35,3.97%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x0,lay,lightgbm,EV>0.05,30.2%,Nao,1021,92.1%,14.05,0.48%,"[-21.4%, 21.9%]",0.472,False,30,46.83%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_0x1,back,lightgbm,EV>0.05,27.8%,Nao,1696,9.1%,11.46,0.45%,"[-14.7%, 15.9%]",0.4815,False,34,-69.12%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,poisson_huber,EV>0.05,6.4%,Sim,640,63.3%,5.82,0.42%,"[-14.5%, 14.8%]",0.4655,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,back,gbc,EV>0.05,27.8%,Nao,1615,9.4%,11.36,0.27%,"[-15.3%, 16.5%]",0.496,False,32,-67.19%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,lightgbm,EV>0.05,4.8%,Sim,1216,34.0%,3.04,0.26%,"[-7.5%, 8.1%]",0.4355,False,90,31.08%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,back,poisson_dt,EV>0.05,4.8%,Sim,3232,45.6%,2.32,0.26%,"[-3.7%, 4.2%]",0.45,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,poisson_ridge,EV>0.05,4.0%,Sim,328,54.3%,2.88,0.21%,"[-13.2%, 12.6%]",0.482,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_H,lay,poisson_et,EV>0.05,4.0%,Sim,170,38.8%,1.73,0.19%,"[-11.6%, 12.0%]",0.498,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,poisson_lightgbm,EV>0.05,6.4%,Sim,993,38.2%,1.69,0.09%,"[-5.1%, 5.0%]",0.4835,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,lay,gbc,EV>0.05,6.4%,Sim,893,43.3%,2.43,0.02%,"[-7.1%, 7.0%]",0.4865,False,32,7.94%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_A,lay,poisson_en,EV>0.05,6.4%,Sim,1197,42.8%,2.33,0.02%,"[-6.0%, 5.6%]",0.5015,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,lay,rf,EV>0.05,27.8%,Nao,618,90.5%,13.11,-0.04%,"[-26.8%, 25.7%]",0.4755,False,51,36.47%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
CS_0x0,back,gbc,EV>0.05,30.2%,Nao,516,11.0%,9.78,-0.12%,"[-25.1%, 26.6%]",0.515,False,17,-17.65%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_H,back,xgboost,EV>0.05,4.0%,Sim,2473,40.5%,3.49,-0.18%,"[-5.9%, 5.8%]",0.5355,False,87,-7.62%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,back,dt,EV>0.05,4.0%,Sim,5308,43.2%,2.82,-0.31%,"[-4.0%, 3.3%]",0.569,False,114,9.92%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,back,poisson_gbr,EV>0.05,4.8%,Sim,2140,37.9%,2.74,-0.32%,"[-6.0%, 5.2%]",0.5585,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,dt,EV>0.05,6.8%,Sim,2629,49.8%,2.09,-0.33%,"[-4.1%, 3.7%]",0.5745,False,106,-9.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,et,EV>0.05,6.8%,Sim,3495,43.7%,2.31,-0.42%,"[-4.0%, 3.3%]",0.604,False,207,2.05%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x0,lay,lr,EV>0.05,30.2%,Nao,1121,93.3%,15.61,-0.49%,"[-23.0%, 20.1%]",0.494,False,22,29.32%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_A,back,rf,EV>0.05,6.4%,Sim,1545,22.9%,5.31,-0.61%,"[-10.6%, 10.2%]",0.5405,False,63,3.00%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_H,lay,poisson_lasso,EV>0.05,4.0%,Sim,1324,41.0%,1.74,-0.88%,"[-5.2%, 3.8%]",0.6525,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_H,lay,dt,EV>0.05,4.0%,Sim,3013,60.9%,3.22,-0.95%,"[-6.5%, 3.9%]",0.6555,False,54,-7.96%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,nb,EV>0.05,4.8%,Sim,6330,61.8%,1.63,-1.02%,"[-2.9%, 0.9%]",0.851,False,277,-2.29%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,nb,EV>0.05,6.8%,Sim,15355,55.6%,1.79,-1.06%,"[-2.5%, 0.3%]",0.939,False,626,-2.19%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,back,nb,EV>0.05,4.0%,Sim,8242,58.5%,1.74,-1.09%,"[-2.9%, 0.8%]",0.879,False,405,8.63%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_A,lay,poisson_et,EV>0.05,6.4%,Sim,374,35.6%,1.68,-1.11%,"[-8.9%, 6.4%]",0.6165,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,back,poisson_rf,EV>0.05,4.0%,Sim,3695,28.0%,4.27,-1.14%,"[-6.7%, 4.5%]",0.6765,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,back,poisson_et,EV>0.05,4.0%,Sim,3943,26.7%,4.41,-1.23%,"[-7.0%, 4.4%]",0.655,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
O25,back,poisson_lightgbm,EV>0.05,4.8%,Sim,2175,37.6%,2.75,-1.25%,"[-6.7%, 4.2%]",0.6445,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,poisson_en,EV>0.05,4.0%,Sim,892,43.6%,1.85,-1.43%,"[-7.5%, 4.4%]",0.6785,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,lay,lightgbm,EV>0.05,6.8%,Sim,198,35.4%,1.58,-1.49%,"[-11.1%, 9.1%]",0.6105,False,25,-17.36%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,lay,xgboost,EV>0.05,6.4%,Sim,2549,78.3%,7.28,-1.51%,"[-10.8%, 7.5%]",0.64,False,104,-28.66%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,back,poisson_xgboost,EV>0.05,4.0%,Sim,3211,30.6%,4.06,-1.54%,"[-7.3%, 4.3%]",0.694,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,poisson_et,EV>0.05,6.8%,Sim,1250,39.4%,2.55,-1.65%,"[-8.4%, 5.1%]",0.6705,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_0x1,lay,lightgbm,EV>0.05,27.8%,Nao,670,89.6%,10.64,-1.66%,"[-25.4%, 20.5%]",0.5405,False,41,-18.05%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,gbc,EV>0.05,4.8%,Sim,1205,33.6%,3.03,-1.66%,"[-9.5%, 6.1%]",0.6745,False,89,37.40%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,back,et,EV>0.05,4.8%,Sim,4654,38.0%,2.64,-1.69%,"[-5.4%, 2.0%]",0.817,False,258,17.25%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x1,lay,gbc,EV>0.05,27.8%,Nao,678,89.5%,9.86,-1.79%,"[-23.9%, 19.8%]",0.5615,False,59,50.17%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
O25,lay,poisson_ridge,EV>0.05,4.8%,Sim,110,50.0%,2.66,-1.82%,"[-23.8%, 18.7%]",0.5555,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_D,lay,lightgbm,EV>0.05,6.4%,Sim,329,70.5%,4.41,-1.84%,"[-20.7%, 16.2%]",0.5635,False,14,36.64%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,back,poisson_et,EV>0.05,4.8%,Sim,2700,37.0%,2.75,-1.90%,"[-6.7%, 3.0%]",0.768,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,poisson_dt,EV>0.05,4.0%,Sim,2923,55.6%,2.93,-1.92%,"[-6.5%, 2.7%]",0.801,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
O25,back,poisson_xgboost,EV>0.05,4.8%,Sim,1695,46.2%,2.29,-1.93%,"[-7.3%, 3.5%]",0.761,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,lay,xgboost,EV>0.05,6.8%,Sim,500,49.2%,2.05,-2.00%,"[-10.8%, 6.9%]",0.6495,False,26,5.38%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_A,back,nb,EV>0.05,6.4%,Sim,8146,44.7%,2.32,-2.01%,"[-4.5%, 0.4%]",0.9495,False,246,-8.73%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,lay,poisson_et,EV>0.05,6.8%,Sim,1444,37.9%,1.62,-2.03%,"[-6.1%, 1.8%]",0.8265,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,back,xgboost,EV>0.05,21.9%,Nao,4117,10.9%,9.53,-2.04%,"[-10.2%, 6.7%]",0.6755,False,116,20.17%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_H,back,poisson_dt,EV>0.05,4.0%,Sim,5359,34.4%,3.49,-2.11%,"[-6.3%, 2.2%]",0.834,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,back,lr,EV>0.05,6.4%,Sim,2562,36.2%,3.16,-2.14%,"[-7.4%, 3.5%]",0.7575,False,66,-37.24%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_D,back,lightgbm,EV>0.05,6.4%,Sim,2276,20.2%,5.31,-2.17%,"[-10.9%, 6.5%]",0.688,False,44,42.05%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_H,back,poisson_gbr,EV>0.05,4.0%,Sim,5461,26.7%,4.27,-2.20%,"[-6.7%, 2.7%]",0.8205,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
O25,back,lr,EV>0.05,4.8%,Sim,420,48.3%,2.13,-2.28%,"[-11.6%, 7.5%]",0.6785,False,9,49.00%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_D,back,lda,EV>0.05,6.4%,Sim,2507,23.8%,4.9,-2.33%,"[-10.2%, 5.1%]",0.713,False,72,-30.90%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,lay,dt,EV>0.05,6.4%,Sim,1993,77.5%,5.22,-2.34%,"[-11.8%, 6.6%]",0.7045,False,46,63.39%,Sim,False,Reprovado FDR (p > FDR_thresh)
O25,lay,poisson_xgboost,EV>0.05,4.8%,Sim,1351,45.2%,1.98,-2.35%,"[-7.2%, 2.5%]",0.8315,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,back,lda,EV>0.05,21.9%,Nao,2514,11.3%,9.55,-2.35%,"[-12.8%, 8.6%]",0.668,False,62,-16.45%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_D,back,xgboost,EV>0.05,6.4%,Sim,2948,23.8%,4.34,-2.36%,"[-8.9%, 4.4%]",0.776,False,73,-1.11%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,lay,poisson_gbr,EV>0.05,6.4%,Sim,989,35.7%,1.65,-2.38%,"[-7.4%, 2.1%]",0.84,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,lay,rf,EV>0.05,6.4%,Sim,1142,83.1%,8.83,-2.43%,"[-18.1%, 12.8%]",0.619,False,36,11.25%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_H,back,gbc,EV>0.05,4.0%,Sim,3429,24.6%,4.8,-2.47%,"[-9.0%, 3.9%]",0.775,False,140,0.39%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_H,back,poisson_lightgbm,EV>0.05,4.0%,Sim,5522,26.6%,4.27,-2.49%,"[-6.8%, 1.9%]",0.855,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,poisson_lr,EV>0.05,4.0%,Sim,342,54.4%,2.9,-2.50%,"[-16.1%, 10.0%]",0.6745,False,0,0.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
BTTS_Y,back,rf,EV>0.05,6.8%,Sim,904,39.9%,2.53,-2.56%,"[-10.4%, 5.3%]",0.7365,False,47,-15.66%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,lightgbm,EV>0.05,4.0%,Sim,287,35.2%,1.67,-2.60%,"[-11.7%, 6.7%]",0.7145,False,2,95.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_A,lay,poisson_lasso,EV>0.05,6.4%,Sim,1745,42.1%,2.07,-2.70%,"[-7.6%, 2.0%]",0.864,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,lr,EV>0.05,4.0%,Sim,1072,64.3%,3.18,-2.74%,"[-11.2%, 5.8%]",0.728,False,3,-121.00%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
U25,lay,gbc,EV>0.05,4.9%,Sim,449,33.6%,1.58,-2.78%,"[-9.6%, 4.1%]",0.796,False,15,34.13%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
O25,back,rf,EV>0.05,4.8%,Sim,1052,38.6%,2.79,-2.98%,"[-10.8%, 4.9%]",0.753,False,72,27.38%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_H,back,lightgbm,EV>0.05,4.0%,Sim,3631,25.2%,4.66,-3.08%,"[-9.3%, 3.2%]",0.844,False,140,-0.03%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,back,lda,EV>0.05,6.4%,Sim,3623,43.8%,3.95,-3.10%,"[-8.6%, 2.0%]",0.873,False,141,-8.33%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,back,lr,EV>0.05,21.9%,Nao,3009,10.9%,9.33,-3.11%,"[-12.9%, 7.6%]",0.7205,False,55,-88.73%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
CS_0x0,back,rf,EV>0.05,30.2%,Nao,703,10.5%,9.58,-3.17%,"[-24.5%, 19.0%]",0.6275,False,37,-42.70%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
U25,lay,xgboost,EV>0.05,4.9%,Sim,1501,54.2%,2.34,-3.18%,"[-8.9%, 2.8%]",0.8465,False,23,57.43%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_A,back,xgboost,EV>0.05,6.4%,Sim,3786,33.0%,3.61,-3.25%,"[-8.1%, 1.6%]",0.9035,False,126,-25.05%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
U25,lay,et,EV>0.05,4.9%,Sim,2841,35.2%,1.57,-3.32%,"[-6.1%, -0.6%]",0.991,False,202,9.57%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_A,lay,et,EV>0.05,6.4%,Sim,5360,50.4%,2.12,-3.38%,"[-6.2%, -0.6%]",0.9895,False,188,2.62%,Sim,False,Reprovado FDR (p > FDR_thresh)
CS_0x1,lay,nb,EV>0.05,27.8%,Nao,3566,94.8%,19.66,-3.39%,"[-17.4%, 9.9%]",0.6925,False,167,24.22%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_D,back,nb,EV>0.05,6.4%,Sim,16551,28.1%,3.48,-3.43%,"[-5.9%, -1.0%]",0.997,False,615,-11.28%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
U25,lay,lightgbm,EV>0.05,4.9%,Sim,377,32.6%,1.56,-3.44%,"[-11.0%, 3.6%]",0.8305,False,17,32.29%,Nao,False,Reprovado FDR (p > FDR_thresh) | Instabilidade entre Modelos
1X2_A,back,poisson_huber,EV>0.05,6.4%,Sim,4402,23.5%,4.76,-3.44%,"[-9.5%, 2.4%]",0.8785,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_A,back,poisson_xgboost,EV>0.05,6.4%,Sim,8613,25.3%,4.56,-3.46%,"[-7.3%, 0.5%]",0.957,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
U25,back,dt,EV>0.05,4.9%,Sim,2620,41.6%,2.51,-3.55%,"[-8.2%, 1.0%]",0.9285,False,64,-3.14%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,back,poisson_lr,EV>0.05,6.4%,Sim,7793,24.9%,4.8,-3.59%,"[-7.8%, 0.6%]",0.956,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,xgboost,EV>0.05,4.0%,Sim,1873,64.7%,3.33,-3.60%,"[-10.7%, 3.0%]",0.8505,False,42,-15.10%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,back,poisson_rf,EV>0.05,6.4%,Sim,7820,23.3%,4.9,-3.67%,"[-8.0%, 0.6%]",0.956,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
O25,back,dt,EV>0.05,4.8%,Sim,2879,48.6%,2.13,-3.74%,"[-7.8%, 0.1%]",0.972,False,83,29.59%,Sim,False,Reprovado FDR (p > FDR_thresh)
1X2_A,back,poisson_dt,EV>0.05,6.4%,Sim,9001,26.7%,4.43,-3.74%,"[-7.5%, -0.0%]",0.975,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
1X2_H,lay,et,EV>0.05,4.0%,Sim,4345,36.5%,1.65,-3.77%,"[-5.9%, -1.5%]",0.998,False,241,-9.59%,Nao,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
1X2_A,back,poisson_ridge,EV>0.05,6.4%,Sim,7709,24.7%,4.81,-3.80%,"[-8.1%, 0.7%]",0.9555,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
BTTS_Y,back,poisson_lightgbm,EV>0.05,6.8%,Sim,1238,39.5%,2.5,-3.83%,"[-10.5%, 2.9%]",0.871,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
O25,lay,poisson_et,EV>0.05,4.8%,Sim,2129,35.6%,1.6,-3.84%,"[-7.0%, -0.6%]",0.992,False,0,0.00%,Sim,False,Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%)
CS_1x0,lay,rf,EV>0.05,21.9%,Nao,547,86.5%,9.04,-3.88%,"[-27.1%, 18.8%]",0.621,False,24,-70.42%,Nao,False,Mercado Ilíquido (Spread > 15%) | Reprovado FDR (p > FDR_thresh) | Colapso OOS (ROI Confirmação <= 0%) | Instabilidade entre Modelos
