Mes,PnL_Base,PnL_Cond,Delta,DD_Base,DD_Cond,Linhas_Cap
2025-08,1810.14,1763.55,-46.59,628.0,643.07,4
2025-09,1859.87,1769.07,-90.8,572.76,572.76,7
2025-10,1209.36,1172.79,-36.57,637.29,645.06,4
2025-11,935.76,865.16,-70.6,842.74,863.32,5
2025-12,1127.23,1127.23,0.0,437.5,437.5,0
2026-01,193.96,158.54,-35.42,812.5,812.5,3
2026-02,1204.94,1177.2,-27.75,540.86,540.86,2
2026-03,196.06,139.67,-56.38,437.5,437.5,5
2026-04,107.52,86.57,-20.94,598.65,606.78,2
