Date,League,Home,Away,Odd_CS_0x1_Lay,Prob_ML,Decision,Reason,H_Scored_1plus_5,Over15_Sum_5,Home_Aggression,Timestamp
2026-08-01 00:00:00,FINLAND 1,Lahti,Jaro,17.0,0.9470873779406154,APOSTA,APROVADO,0.4,1.4,0.6232,2026-08-18T06:20:52.976931
2026-08-01 00:00:00,SWITZERLAND 1,Basel,Lausanne,17.0,0.9541875981284693,APOSTA,APROVADO,0.4,2.0,0.5632,2026-08-18T06:20:53.070616
2026-08-01 00:00:00,CZECH 1,Plzen,Brno,17.0,0.9577189074533748,APOSTA,APROVADO,0.6,1.6,1.032,2026-08-18T06:20:53.146872
2026-08-01 00:00:00,SWITZERLAND 1,Thun,Young Boys,17.0,0.9457148572794054,APOSTA,APROVADO,0.2,1.6,0.21800000000000003,2026-08-18T06:20:53.218082
2026-08-01 00:00:00,USA 1,St. Louis City,Real Salt Lake,17.0,0.9513988554328041,APOSTA,APROVADO,0.6,2.0,1.056,2026-08-18T06:20:53.423280
2026-08-01 00:00:00,USA 1,Portland Timbers,Seattle Sounders,17.0,0.9591728209821861,APOSTA,APROVADO,0.4,1.8,0.7328000000000001,2026-08-18T06:20:53.473121
2026-08-02 00:00:00,NORWAY 1,KFUM Oslo,Kristiansund,17.0,0.9333205922855194,APOSTA,APROVADO,0.2,1.6,0.194,2026-08-18T06:20:53.690768
2026-08-03 00:00:00,ROMANIA 1,FCSB,Farul Constanta,17.0,0.9649427565047731,APOSTA,APROVADO,0.4,1.6,0.6568,2026-08-18T06:20:54.246719
2026-08-07 00:00:00,SWEDEN 2,Ostersund,Sundsvall,17.0,0.9703596065882939,APOSTA,APROVADO,0.2,1.8,0.0,2026-08-18T06:20:54.901845
2026-08-07 00:00:00,NETHERLANDS 2,Dordrecht,Jong Ajax,17.0,0.948245609924547,APOSTA,APROVADO,0.2,1.6,0.1876,2026-08-18T06:20:54.927921
2026-08-07 00:00:00,BULGARIA 1,Levski Sofia,Lok. Plovdiv,17.0,0.9557805746057103,APOSTA,APROVADO,0.4,1.2,0.0,2026-08-18T06:20:54.963275
2026-08-07 00:00:00,ARGENTINA 1,Ind. Rivadavia,Estudiantes Rio Cuarto,17.0,0.9480398517976424,APOSTA,APROVADO,0.4,1.2,0.5704000000000001,2026-08-18T06:20:55.172409
2026-08-08 00:00:00,GERMANY 2,Heidenheim,VfL Osnabruck,17.0,0.9587634007934177,APOSTA,APROVADO,0.4,1.6,0.7200000000000002,2026-08-18T06:20:55.302896
2026-08-08 00:00:00,CHINA 1,Yunnan Yukun,Chengdu Rongcheng,17.0,0.9383800987932049,APOSTA,APROVADO,0.4,1.8,0.8776,2026-08-18T06:20:55.364639
2026-08-08 00:00:00,NETHERLANDS 2,Den Bosch,Almere City,17.0,0.9422839718397877,APOSTA,APROVADO,0.8,1.8,1.4128,2026-08-18T06:20:55.749730
2026-08-08 00:00:00,ROMANIA 1,Farul Constanta,Csikszereda M. Ciuc,17.0,0.9469986955919937,APOSTA,APROVADO,0.2,1.4,0.43600000000000005,2026-08-18T06:20:55.830404
2026-08-09 00:00:00,CHINA 1,Henan Songshan Longmen,Qingdao West Coast,17.0,0.96367908446343,APOSTA,APROVADO,0.4,2.0,0.6336,2026-08-18T06:20:56.400042
2026-08-09 00:00:00,GERMANY 2,St. Pauli,Greuther Furth,17.0,0.9559181018218377,APOSTA,APROVADO,0.4,1.8,0.40800000000000003,2026-08-18T06:20:56.428461
2026-08-09 00:00:00,FINLAND 1,KuPS,TPS,17.0,0.9523060702267936,APOSTA,APROVADO,0.2,1.8,0.4944,2026-08-18T06:20:56.455335
2026-08-09 00:00:00,NORWAY 1,HamKam,Aalesund,17.0,0.9368950262655228,APOSTA,APROVADO,0.2,1.8,0.2240000000000001,2026-08-18T06:20:56.643197
2026-08-09 00:00:00,POLAND 1,Lech Poznan,Piast Gliwice,17.0,0.9516205411983651,APOSTA,APROVADO,0.6,1.6,1.1472,2026-08-18T06:20:56.686653
2026-08-09 00:00:00,BRAZIL 1,Palmeiras,Internacional,17.0,0.9601414737857124,APOSTA,APROVADO,0.6,1.8,0.6599999999999999,2026-08-18T06:20:56.882774
2026-08-09 00:00:00,ICELAND 1,Breidablik,Valur,18.0,0.9251026376095134,APOSTA,APROVADO,0.6,1.4,0.6180000000000001,2026-08-18T06:20:56.966646
2026-08-10 00:00:00,BULGARIA 1,Botev Plovdiv,Spartak Varna,17.0,0.9620214489105418,APOSTA,APROVADO,0.6,1.8,0.0,2026-08-18T06:20:57.113400
2026-08-08 00:00:00,SWITZERLAND 1,Lausanne,Young Boys,16.5,0.9462746724736985,APOSTA,APROVADO,0.6,1.8,0.8616,2026-08-18T06:23:32.662502
2026-08-08 00:00:00,ARGENTINA 1,Boca Juniors,Velez Sarsfield,16.5,0.9457343653131132,APOSTA,APROVADO,0.2,1.0,0.1196,2026-08-18T06:23:32.785798
2026-08-01 00:00:00,USA 1,CF Montreal,New England Revolution,17.0,0.9261391791610434,APOSTA,APROVADO,0.2,1.2,0.2848,2026-08-18T06:24:38.786767
2026-08-02 00:00:00,POLAND 1,GKS Katowice,Radomiak Radom,16.0,0.9364285700038802,APOSTA,APROVADO,0.4,1.4,0.5016,2026-08-18T06:25:13.980995
2026-08-07 00:00:00,GERMANY 2,Bochum,Hertha Berlin,16.0,0.9126798732518935,APOSTA,APROVADO,0.6,1.4,0.7235999999999999,2026-08-18T06:26:48.847601
2026-08-08 00:00:00,SWITZERLAND 1,Lausanne,Young Boys,16.5,0.9462746724736985,APOSTA,APROVADO,0.6,1.8,0.8616,2026-08-18T06:27:14.558396
2026-08-08 00:00:00,ARGENTINA 1,Boca Juniors,Velez Sarsfield,16.5,0.9457343653131132,APOSTA,APROVADO,0.2,1.0,0.1196,2026-08-18T06:27:14.680717
2026-08-11 00:00:00,EUROPA CHAMPIONS LEAGUE,Slovan Bratislava,Mjallby,16.5,0.9373982514708324,APOSTA,APROVADO,0.2,1.4,0.20840000000000003,2026-08-18T06:28:47.237701
2026-08-14 00:00:00,FRANCE 2,Reims,Dunkerque,17.5,0.9449004288731008,APOSTA,APROVADO,0.6,1.8,0.9552,2026-08-18T06:29:35.333462
2026-08-14 00:00:00,ARGENTINA 1,Racing Club,Banfield,17.0,0.9455378787960625,APOSTA,APROVADO,0.4,1.2,0.31600000000000006,2026-08-18T06:29:35.372506
2026-08-15 00:00:00,POLAND 1,Widzew Lodz,Korona Kielce,16.5,0.9224950076277304,APOSTA,APROVADO,0.6,1.2,0.8807999999999999,2026-08-18T06:29:59.277918
2026-08-15 00:00:00,USA 1,Toronto FC,New England Revolution,17.5,0.9372864659573572,APOSTA,APROVADO,0.0,1.2,0.0,2026-08-18T06:29:59.389631
2026-08-15 00:00:00,BRAZIL 1,Sao Paulo,Coritiba,16.5,0.9309867056243315,APOSTA,APROVADO,0.4,1.4,0.4216,2026-08-18T06:29:59.400383
2026-08-16 00:00:00,TURKEY 1,Basaksehir,Kocaelispor,17.5,0.9604962046876424,APOSTA,APROVADO,0.6,1.6,1.3152000000000001,2026-08-18T06:30:46.940440
2026-08-18 00:00:00,EUROPA CHAMPIONS LEAGUE,Fenerbahce,Lyon,16.5,0.9479790662429751,APOSTA,APROVADO,0.4,1.8,0.8648,2026-08-18T06:31:40.133742
2026-08-15 00:00:00,POLAND 1,Widzew Lodz,Korona Kielce,16.5,0.9224950076277304,APOSTA,APROVADO,0.6,1.2,0.8807999999999999,2026-08-18T13:05:57.984862
2026-08-15 00:00:00,USA 1,Toronto FC,New England Revolution,17.5,0.9372864659573572,APOSTA,APROVADO,0.0,1.2,0.0,2026-08-18T13:05:58.081642
2026-08-15 00:00:00,BRAZIL 1,Sao Paulo,Coritiba,16.5,0.9309867056243315,APOSTA,APROVADO,0.4,1.4,0.4216,2026-08-18T13:05:58.089828
