key
11:30:00|ROMANIA 1|FC METALOGLOBUS BUCURESTI X UNIREA SLOBOZIA|LAY_CS_0X1_B365
15:45:00|FRANCE 2|BOULOGNE X DUNKERQUE|LAY_CS_0X1_B365
