Hora,Liga,Jogo,Metodo,Odd real,Status,key
11:30:00,ROMANIA 1,FC Metaloglobus Bucuresti x Unirea Slobozia,Lay_CS_0x1_B365,10.0,EXECUTED,11:30:00|ROMANIA 1|FC METALOGLOBUS BUCURESTI X UNIREA SLOBOZIA|LAY_CS_0X1_B365
15:45:00,FRANCE 2,Boulogne x Dunkerque,Lay_CS_0x1_B365,10.5,EXECUTED,15:45:00|FRANCE 2|BOULOGNE X DUNKERQUE|LAY_CS_0X1_B365
