Mes,Entradas,Greens,Reds,WR_%,PnL_Mensal,DD_Mensal_Abs,DD_Mensal_%
2025-08,50,50,0,100.0,3711.11,0.0,0.0
2025-09,43,41,2,95.35,6763.9,2514.39,32.81
2025-10,52,52,0,100.0,9134.98,0.0,0.0
2025-11,50,49,1,98.0,9552.18,963.0,9.2
2025-12,38,38,0,100.0,5224.75,0.0,0.0
2026-01,35,32,3,91.43,3574.0,2861.34,51.33
2026-02,34,32,2,94.12,4695.12,1062.92,20.37
2026-03,37,37,0,100.0,3857.89,0.0,0.0
